"",BBK01.OEXB07H,BBK01.OEXB07H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:26:02,
2002-01,8.054,
2002-04,8.081,
2002-07,7.998,
2002-10,7.902,
2003-01,7.890,
2003-04,7.858,
2003-07,7.843,
2003-10,8.020,
2004-01,7.450,
2004-04,8.081,
2004-07,7.408,
2004-10,7.129,
2005-01,7.258,
2005-04,7.464,
2005-07,7.519,
2005-10,7.513,
2006-01,7.484,
2006-04,7.473,
2006-07,7.422,
2006-10,7.555,
2007-01,7.474,
2007-04,7.638,
2007-07,7.885,
2007-10,7.756,
2008-01,7.670,
2008-04,7.700,
2008-07,7.681,
2008-10,7.379,
2009-01,7.424,
2009-04,7.565,
2009-07,7.817,
2009-10,7.569,
2010-01,7.495,
2010-04,8.065,
2010-07,8.231,
2010-10,8.304,
2011-01,8.401,
2011-04,8.593,
2011-07,16.266,
2011-10,16.490,
2012-01,16.443,
2012-04,16.697,
2012-07,16.883,
2012-10,17.343,
2013-01,18.260,
2013-04,18.314,
2013-07,18.509,
2013-10,18.515,
2014-01,18.528,
2014-04,18.713,
2014-07,18.749,
