"",BBK01.OEAC51S,BBK01.OEAC51S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:55:08,
2002-01,0.335,
2002-04,0.334,
2002-07,0.343,
2002-10,0.344,
2003-01,0.350,
2003-04,0.357,
2003-07,0.362,
2003-10,0.366,
2004-01,0.362,
2004-04,0.367,
2004-07,0.368,
2004-10,0.373,
2005-01,0.370,
2005-04,0.376,
2005-07,0.379,
2005-10,0.382,
2006-01,0.381,
2006-04,0.381,
2006-07,0.391,
2006-10,0.401,
2007-01,0.410,
2007-04,0.413,
2007-07,0.433,
2007-10,0.448,
2008-01,0.457,
2008-04,0.466,
2008-07,0.483,
2008-10,0.489,
2009-01,0.487,
2009-04,0.508,
2009-07,0.551,
2009-10,0.655,
2010-01,0.618,
2010-04,0.616,
2010-07,0.630,
2010-10,0.641,
2011-01,0.654,
2011-04,0.672,
2011-07,0.703,
2011-10,0.713,
2012-01,0.723,
2012-04,0.735,
2012-07,0.757,
2012-10,0.771,
2013-01,0.776,
2013-04,0.796,
2013-07,0.811,
2013-10,0.831,
2014-01,0.835,
2014-04,0.867,
2014-07,0.897,
