"",BBK01.OEAL04H,BBK01.OEAL04H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:13:14,
2002-01,23.327,
2002-04,22.726,
2002-07,22.472,
2002-10,22.087,
2003-01,21.322,
2003-04,19.933,
2003-07,19.014,
2003-10,18.355,
2004-01,17.208,
2004-04,16.062,
2004-07,15.467,
2004-10,15.315,
2005-01,14.992,
2005-04,14.694,
2005-07,14.449,
2005-10,15.018,
2006-01,15.277,
2006-04,15.804,
2006-07,16.899,
2006-10,18.548,
2007-01,20.082,
2007-04,21.651,
2007-07,25.059,
2007-10,28.351,
2008-01,31.284,
2008-04,33.658,
2008-07,36.589,
2008-10,40.804,
2009-01,33.807,
2009-04,28.862,
2009-07,24.246,
2009-10,20.553,
2010-01,17.296,
2010-04,16.126,
2010-07,14.758,
2010-10,14.376,
2011-01,13.833,
2011-04,13.804,
2011-07,14.160,
2011-10,14.787,
2012-01,14.541,
2012-04,13.624,
2012-07,12.447,
2012-10,11.114,
2013-01,10.002,
2013-04,10.173,
2013-07,9.973,
2013-10,9.766,
2014-01,9.764,
2014-04,9.173,
2014-07,8.716,
