"",BBK01.OEAF13G,BBK01.OEAF13G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:06:45,
2002-01,1.237,
2002-04,1.271,
2002-07,1.293,
2002-10,1.284,
2003-01,1.159,
2003-04,1.155,
2003-07,1.305,
2003-10,1.193,
2004-01,1.246,
2004-04,1.154,
2004-07,1.152,
2004-10,1.153,
2005-01,1.133,
2005-04,1.214,
2005-07,1.090,
2005-10,1.049,
2006-01,0.954,
2006-04,0.983,
2006-07,1.056,
2006-10,1.024,
2007-01,0.989,
2007-04,1.032,
2007-07,1.029,
2007-10,1.020,
2008-01,1.038,
2008-04,1.108,
2008-07,1.089,
2008-10,1.063,
2009-01,1.102,
2009-04,1.141,
2009-07,1.235,
2009-10,1.180,
2010-01,1.227,
2010-04,1.199,
2010-07,1.248,
2010-10,1.078,
2011-01,1.108,
2011-04,1.139,
2011-07,1.175,
2011-10,1.196,
2012-01,1.195,
2012-04,1.253,
2012-07,1.261,
2012-10,1.271,
2013-01,1.290,
2013-04,1.304,
2013-07,1.316,
2013-10,1.257,
2014-01,1.319,
2014-04,1.336,
2014-07,1.178,
