"",BBSF2.M.1.P.00000.TOT01.I.F.WPS.GB.00000.000000.Z01.00,BBSF2.M.1.P.00000.TOT01.I.F.WPS.GB.00000.000000.Z01.00_FLAGS
"",Public funds / Funds total / Securities total / United Kingdom,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:45:25,
2009-09,12784,
2009-10,12837,
2009-11,12796,
2009-12,13386,
2010-01,13537,
2010-02,13732,
2010-03,14287,
2010-04,14111,
2010-05,13382,
2010-06,13489,
2010-07,13864,
2010-08,13890,
2010-09,14594,
2010-10,14880,
2010-11,15260,
2010-12,15940,
2011-01,15781,
2011-02,16042,
2011-03,15530,
2011-04,15724,
2011-05,15804,
2011-06,15227,
2011-07,15269,
2011-08,13713,
2011-09,13229,
2011-10,13278,
2011-11,13451,
2011-12,13837,
2012-01,14556,
2012-02,14892,
2012-03,14766,
2012-04,14947,
2012-05,14319,
2012-06,14469,
2012-07,15151,
2012-08,14984,
2012-09,15024,
2012-10,14757,
2012-11,14340,
2012-12,14550,
2013-01,14504,
2013-02,14752,
2013-03,15299,
2013-04,15165,
2013-05,15071,
2013-06,14157,
2013-07,14870,
2013-08,14627,
2013-09,15145,
2013-10,15409,
2013-11,15627,
2013-12,15666,
2014-01,15293,
2014-02,15812,
2014-03,15437,
2014-04,15658,
2014-05,16138,
2014-06,16362,
2014-07,16308,
2014-08,16694,
2014-09,16727,
2014-10,16717,
2014-11,17453,
