"",BBK01.OECK03I,BBK01.OECK03I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:08:51,
2002-01,0.544,
2002-04,0.531,
2002-07,0.487,
2002-10,0.469,
2003-01,0.438,
2003-04,0.393,
2003-07,0.356,
2003-10,0.322,
2004-01,0.327,
2004-04,0.326,
2004-07,0.312,
2004-10,0.373,
2005-01,0.348,
2005-04,0.353,
2005-07,0.352,
2005-10,0.365,
2006-01,0.429,
2006-04,0.448,
2006-07,0.436,
2006-10,0.478,
2007-01,0.478,
2007-04,0.478,
2007-07,0.600,
2007-10,0.704,
2008-01,0.702,
2008-04,0.727,
2008-07,0.764,
2008-10,0.669,
2009-01,0.507,
2009-04,0.437,
2009-07,0.358,
2009-10,0.284,
2010-01,0.229,
2010-04,0.210,
2010-07,0.189,
2010-10,0.288,
2011-01,0.277,
2011-04,0.276,
2011-07,0.268,
2011-10,0.176,
2012-01,0.246,
2012-04,0.234,
2012-07,0.199,
2012-10,0.148,
2013-01,0.167,
2013-04,0.162,
2013-07,0.164,
2013-10,0.162,
2014-01,0.171,
2014-04,0.181,
2014-07,0.179,
