"",BBFB1.Q.Y.DE.W1.S1.S1.T.C.D4P._T.F._Z._T._X.N,BBFB1.Q.Y.DE.W1.S1.S1.T.C.D4P._T.F._Z._T._X.N_FLAGS
"",Balance of payments / Primary income: Investment income / Credit (Resources) / All countries / Calendar and seasonally adjusted,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 14:49:19,
1991-01,14.56,
1991-04,14.97,
1991-07,15.22,
1991-10,15.46,
1992-01,14.90,
1992-04,15.53,
1992-07,15.73,
1992-10,15.70,
1993-01,15.86,
1993-04,15.70,
1993-07,15.25,
1993-10,14.86,
1994-01,14.28,
1994-04,14.15,
1994-07,14.33,
1994-10,14.38,
1995-01,14.98,
1995-04,14.82,
1995-07,14.54,
1995-10,14.53,
1996-01,15.00,
1996-04,14.83,
1996-07,15.77,
1996-10,16.57,
1997-01,16.81,
1997-04,17.11,
1997-07,17.05,
1997-10,19.28,
1998-01,16.95,
1998-04,17.91,
1998-07,18.08,
1998-10,19.12,
1999-01,17.71,
1999-04,21.02,
1999-07,19.93,
1999-10,23.31,
2000-01,24.44,
2000-04,26.30,
2000-07,26.67,
2000-10,33.02,
2001-01,24.60,
2001-04,24.62,
2001-07,22.80,
2001-10,22.89,
2002-01,23.78,
2002-04,24.23,
2002-07,24.51,
2002-10,23.91,
2003-01,24.26,
2003-04,24.57,
2003-07,25.39,
2003-10,26.07,
2004-01,30.69,
2004-04,31.80,
2004-07,33.24,
2004-10,35.18,
2005-01,36.46,
2005-04,37.72,
2005-07,39.47,
2005-10,42.13,
2006-01,44.69,
2006-04,47.81,
2006-07,49.81,
2006-10,52.97,
2007-01,59.33,
2007-04,60.16,
2007-07,58.37,
2007-10,57.34,
2008-01,50.66,
2008-04,47.38,
2008-07,44.48,
2008-10,42.24,
2009-01,43.19,
2009-04,42.01,
2009-07,42.26,
2009-10,42.79,
2010-01,44.20,
2010-04,45.86,
2010-07,46.84,
2010-10,49.71,
2011-01,49.23,
2011-04,50.58,
2011-07,51.50,
2011-10,51.24,
2012-01,50.07,
2012-04,49.07,
2012-07,49.97,
2012-10,49.51,
2013-01,48.45,
2013-04,47.23,
2013-07,47.11,
2013-10,48.00,
2014-01,45.97,
2014-04,46.95,Provisional value
2014-07,46.61,Provisional value
2014-10,45.99,Provisional value
