"",BBFN1.M.DE.N.1.L.IR.S1P.F0.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.IR.S1P.F0.T.BN00.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents arising from financial operations / Total / Iran,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:26:17,
1982-09,0.030,
1982-10,0.029,
1982-11,0.036,
1982-12,0.035,
1983-01,0.034,
1983-02,0.034,
1983-03,0.029,
1983-04,0.030,
1983-05,0.037,
1983-06,0.038,
1983-07,0.038,
1983-08,0.034,
1983-09,0.030,
1983-10,0.037,
1983-11,0.037,
1983-12,0.039,
1984-01,0.038,
1984-02,0.038,
1984-03,0.035,
1984-04,0.034,
1984-05,0.041,
1984-06,0.041,
1984-07,0.036,
1984-08,0.035,
1984-09,0.034,
1984-10,0.036,
1984-11,0.037,
1984-12,0.036,
1985-01,0.039,
1985-02,0.037,
1985-03,0.036,
1985-04,0.035,
1985-05,0.031,
1985-06,0.038,
1985-07,0.032,
1985-08,0.030,
1985-09,0.022,
1985-10,0.022,
1985-11,0.023,
1985-12,0.024,
1986-01,0.029,
1986-02,0.027,
1986-03,0.024,
1986-04,0.024,
1986-05,0.039,
1986-06,0.041,
1986-07,0.040,
1986-08,0.039,
1986-09,0.037,
1986-10,0.021,
1986-11,0.024,
1986-12,0.024,
1987-01,0.024,
1987-02,0.025,
1987-03,0.025,
1987-04,0.022,
1987-05,0.023,
1987-06,0.021,
1987-07,0.027,
1987-08,0.027,
1987-09,0.029,
1987-10,0.029,
1987-11,0.032,
1987-12,0.025,
1988-01,0.026,
1988-02,0.025,
1988-03,0.024,
1988-04,0.026,
1988-05,0.032,
1988-06,0.037,
1988-07,0.039,
1988-08,0.036,
1988-09,0.026,
1988-10,0.021,
1988-11,0.020,
1988-12,0.019,
1989-01,0.019,
1989-02,0.016,
1989-03,0.015,
1989-04,0.015,
1989-05,0.016,
1989-06,0.016,
1989-07,0.018,
1989-08,0.018,
1989-09,0.018,
1989-10,0.018,
1989-11,0.018,
1989-12,0.015,
1990-01,0.016,
1990-02,0.015,
1990-03,0.014,
1990-04,0.013,
1990-05,0.012,
1990-06,0.012,
1990-07,0.011,
1990-08,0.011,
1990-09,0.011,
1990-10,0.011,
1990-11,0.011,
1990-12,0.010,
1991-01,0.009,
1991-02,0.010,
1991-03,0.009,
1991-04,0.010,
1991-05,0.011,
1991-06,0.010,
1991-07,0.010,
1991-08,0.009,
1991-09,0.014,
1991-10,0.012,
1991-11,0.010,
1991-12,0.012,
1992-01,0.012,
1992-02,0.013,
1992-03,0.012,
1992-04,0.022,
1992-05,0.024,
1992-06,0.022,
1992-07,0.022,
1992-08,0.027,
1992-09,0.029,
1992-10,0.034,
1992-11,0.051,
1992-12,0.054,
1993-01,0.053,
1993-02,0.056,
1993-03,0.057,
1993-04,0.053,
1993-05,0.050,
1993-06,0.051,
1993-07,0.050,
1993-08,0.050,
1993-09,0.050,
1993-10,0.051,
1993-11,0.051,
1993-12,0.049,
1994-01,0.057,
1994-02,0.066,
1994-03,0.061,
1994-04,0.059,
1994-05,0.052,
1994-06,0.055,
1994-07,0.102,
1994-08,0.102,
1994-09,0.096,
1994-10,0.097,
1994-11,0.099,
1994-12,0.084,
1995-01,0.087,
1995-02,0.087,
1995-03,0.088,
1995-04,0.095,
1995-05,0.096,
1995-06,0.064,
1995-07,0.064,
1995-08,0.061,
1995-09,0.061,
1995-10,0.061,
1995-11,0.061,
1995-12,0.058,
1996-01,0.058,
1996-02,0.059,
1996-03,0.058,
1996-04,0.059,
1996-05,0.060,
1996-06,0.058,
1996-07,0.059,
1996-08,0.059,
1996-09,0.070,
1996-10,0.075,
1996-11,0.075,
1996-12,0.074,
1997-01,0.074,
1997-02,0.074,
1997-03,0.065,
1997-04,0.068,
1997-05,0.067,
1997-06,0.030,
1997-07,0.037,
1997-08,0.039,
1997-09,0.044,
1997-10,0.086,
1997-11,0.085,
1997-12,0.085,
1998-01,0.163,
1998-02,0.165,
1998-03,0.108,
1998-04,0.116,
1998-05,0.119,
1998-06,0.145,
1998-07,0.146,
1998-08,0.143,
1998-09,0.139,
1998-10,0.119,
1998-11,0.110,
1998-12,0.114,
1999-01,0.113,
1999-02,0.112,
1999-03,0.106,
1999-04,0.097,
1999-05,0.101,
1999-06,0.103,
1999-07,0.104,
1999-08,0.102,
1999-09,0.090,
1999-10,0.721,
1999-11,0.719,
1999-12,0.797,
2000-01,0.789,
2000-02,0.781,
2000-03,0.749,
2000-04,0.770,
2000-05,0.766,
2000-06,0.775,
2000-07,0.757,
2000-08,0.760,
2000-09,0.738,
2000-10,0.745,
2000-11,0.740,
2000-12,0.751,
2001-01,0.778,
2001-02,0.782,
2001-03,0.729,
2001-04,0.743,
2001-05,0.734,
2001-06,0.737,
2001-07,0.744,
2001-08,0.745,
2001-09,0.588,
2001-10,0.590,
2001-11,0.571,
2001-12,0.562,
2002-01,0.556,
2002-02,0.547,
2002-03,0.536,
2002-04,0.536,
2002-05,0.529,
2002-06,0.552,
2002-07,0.549,
2002-08,0.542,
2002-09,0.534,
2002-10,0.526,
2002-11,0.515,
2002-12,0.514,
2003-01,0.513,
2003-02,0.515,
2003-03,0.516,
2003-04,0.512,
2003-05,0.509,
2003-06,0.519,
2003-07,0.518,
2003-08,0.168,
2003-09,0.166,
2003-10,0.172,
2003-11,0.172,
2003-12,0.160,
2004-01,0.155,
2004-02,0.156,
2004-03,0.159,
