"",BBK01.OUD383,BBK01.OUD383_FLAGS
"",Savings deposits of non-profit institutions / at a period of notice of more than 3 months / Regional banks,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-05 10:10:32,
1999-01,0.049,
1999-02,0.048,
1999-03,0.047,
1999-04,0.048,
1999-05,0.048,
1999-06,0.047,
1999-07,0.044,
1999-08,0.042,
1999-09,0.119,
1999-10,0.117,
1999-11,0.125,
1999-12,0.133,
2000-01,0.134,
2000-02,0.138,
2000-03,0.141,
2000-04,0.140,
2000-05,0.139,
2000-06,0.142,
2000-07,0.143,
2000-08,0.145,
2000-09,0.147,
2000-10,0.146,
2000-11,0.142,
2000-12,0.145,
2001-01,0.143,
2001-02,0.140,
2001-03,0.139,
2001-04,0.128,
2001-05,0.127,
2001-06,0.124,
2001-07,0.120,
2001-08,0.113,
2001-09,0.113,
2001-10,0.104,
2001-11,0.098,
2001-12,0.094,
2002-01,0.090,
2002-02,0.091,
2002-03,0.092,
2002-04,0.098,
2002-05,0.099,
2002-06,0.098,
2002-07,0.098,
2002-08,0.102,
2002-09,0.104,
2002-10,0.101,
2002-11,0.090,
2002-12,0.084,
2003-01,0.085,
2003-02,0.083,
2003-03,0.079,
2003-04,0.076,
2003-05,0.074,
2003-06,0.073,
2003-07,0.070,
2003-08,0.068,
2003-09,0.066,
2003-10,0.063,
2003-11,0.067,
2003-12,0.065,
2004-01,0.068,
2004-02,0.065,
2004-03,0.064,
2004-04,0.060,
2004-05,0.059,
2004-06,0.059,
2004-07,0.059,
2004-08,0.056,
2004-09,0.054,
2004-10,0.054,
2004-11,0.054,
2004-12,0.055,
2005-01,0.053,
2005-02,0.052,
2005-03,0.053,
2005-04,0.055,
2005-05,0.053,
2005-06,0.053,
2005-07,0.052,
2005-08,0.050,
2005-09,0.050,
2005-10,0.050,
2005-11,0.049,
2005-12,0.049,
2006-01,0.048,
2006-02,0.049,
2006-03,0.050,
2006-04,0.051,
2006-05,0.051,
2006-06,0.061,
2006-07,0.062,
2006-08,0.063,
2006-09,0.065,
2006-10,0.067,
2006-11,0.069,
2006-12,0.070,
2007-01,0.074,
2007-02,0.078,
2007-03,0.088,
2007-04,0.091,
2007-05,0.090,
2007-06,0.084,
2007-07,0.087,
2007-08,0.089,
2007-09,0.090,
2007-10,0.090,
2007-11,0.093,
2007-12,0.093,
2008-01,0.095,
2008-02,0.097,
2008-03,0.098,
2008-04,0.101,
2008-05,0.101,
2008-06,0.101,
2008-07,0.099,
2008-08,0.100,
2008-09,0.097,
2008-10,0.106,
2008-11,0.112,
2008-12,0.133,
2009-01,0.142,
2009-02,0.144,
2009-03,0.146,
2009-04,0.145,
2009-05,0.152,
2009-06,0.156,
2009-07,0.161,
2009-08,0.164,
2009-09,0.166,
2009-10,0.166,
2009-11,0.163,
2009-12,0.153,
2010-01,0.141,
2010-02,0.134,
2010-03,0.135,
2010-04,0.135,
2010-05,0.137,
2010-06,0.139,
2010-07,0.141,
2010-08,0.136,
2010-09,0.134,
2010-10,0.132,
2010-11,0.137,
2010-12,0.138,
2011-01,0.139,
2011-02,0.144,
2011-03,0.149,
2011-04,0.152,
2011-05,0.154,
2011-06,0.151,
2011-07,0.153,
2011-08,0.152,
2011-09,0.150,
2011-10,0.151,
2011-11,0.152,
2011-12,0.150,
2012-01,0.150,
2012-02,0.151,
2012-03,0.163,
2012-04,0.166,
2012-05,0.169,
2012-06,0.178,
2012-07,0.182,
2012-08,0.176,
2012-09,0.175,
2012-10,0.173,
2012-11,0.179,
2012-12,0.176,
2013-01,0.167,
2013-02,0.166,
2013-03,0.153,
2013-04,0.141,
2013-05,0.138,
2013-06,0.135,
2013-07,0.138,
2013-08,0.132,
2013-09,0.134,
2013-10,0.131,
2013-11,0.140,
2013-12,0.137,
2014-01,0.136,
2014-02,0.137,
2014-03,0.137,
2014-04,0.137,
2014-05,0.133,
2014-06,0.129,
2014-07,0.128,
2014-08,0.123,
2014-09,0.123,
2014-10,0.121,
2014-11,0.121,
2014-12,0.126,Provisional value
