"",BBFN1.M.DE.N.1.A.NZ.S1P.H1.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.NZ.S1P.H1.T.N000.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents arising from credit terms granted / Total / New Zealand,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:30:47,
1994-07,0.076,
1994-08,0.076,
1994-09,0.079,
1994-10,0.083,
1994-11,0.082,
1994-12,0.072,
1995-01,0.077,
1995-02,0.076,
1995-03,0.074,
1995-04,0.076,
1995-05,0.081,
1995-06,0.084,
1995-07,0.085,
1995-08,0.081,
1995-09,0.089,
1995-10,0.083,
1995-11,0.082,
1995-12,0.078,
1996-01,0.075,
1996-02,0.071,
1996-03,0.077,
1996-04,0.084,
1996-05,0.089,
1996-06,0.092,
1996-07,0.093,
1996-08,0.091,
1996-09,0.094,
1996-10,0.090,
1996-11,0.094,
1996-12,0.094,
1997-01,0.094,
1997-02,0.086,
1997-03,0.092,
1997-04,0.082,
1997-05,0.088,
1997-06,0.087,
1997-07,0.094,
1997-08,0.091,
1997-09,0.104,
1997-10,0.097,
1997-11,0.098,
1997-12,0.083,
1998-01,0.077,
1998-02,0.083,
1998-03,0.077,
1998-04,0.079,
1998-05,0.079,
1998-06,0.084,
1998-07,0.088,
1998-08,0.096,
1998-09,0.085,
1998-10,0.083,
1998-11,0.078,
1998-12,0.082,
1999-01,0.081,
1999-02,0.077,
1999-03,0.076,
1999-04,0.083,
1999-05,0.085,
1999-06,0.086,
1999-07,0.090,
1999-08,0.092,
1999-09,0.100,
1999-10,0.101,
1999-11,0.092,
1999-12,0.108,
2000-01,0.102,
2000-02,0.102,
2000-03,0.108,
2000-04,0.105,
2000-05,0.107,
2000-06,0.109,
2000-07,0.113,
2000-08,0.128,
2000-09,0.127,
2000-10,0.126,
2000-11,0.118,
2000-12,0.110,
2001-01,0.113,
2001-02,0.123,
2001-03,0.122,
2001-04,0.113,
2001-05,0.133,
2001-06,0.145,
2001-07,0.145,
2001-08,0.151,
2001-09,0.155,
2001-10,0.146,
2001-11,0.153,
2001-12,0.138,
2002-01,0.121,
2002-02,0.125,
2002-03,0.114,
2002-04,0.111,
2002-05,0.121,
2002-06,0.142,
2002-07,0.142,
2002-08,0.133,
2002-09,0.133,
2002-10,0.132,
2002-11,0.132,
2002-12,0.129,
2003-01,0.125,
2003-02,0.132,
2003-03,0.126,
2003-04,0.128,
2003-05,0.137,
2003-06,0.140,
2003-07,0.135,
2003-08,0.130,
2003-09,0.124,
2003-10,0.125,
2003-11,0.123,
2003-12,0.123,
2004-01,0.116,
2004-02,0.110,
2004-03,0.111,
2004-04,0.107,
2004-05,0.105,
2004-06,0.120,
2004-07,0.132,
2004-08,0.133,
2004-09,0.129,
2004-10,0.132,
2004-11,0.129,
2004-12,0.125,
2005-01,0.130,
2005-02,0.126,
2005-03,0.127,
2005-04,0.124,
2005-05,0.138,
2005-06,0.146,
2005-07,0.147,
2005-08,0.152,
2005-09,0.147,
2005-10,0.117,
2005-11,0.123,
2005-12,0.109,
2006-01,0.116,
2006-02,0.104,
2006-03,0.116,
2006-04,0.113,
2006-05,0.118,
2006-06,0.124,
2006-07,0.123,
2006-08,0.133,
2006-09,0.139,
2006-10,0.129,
2006-11,0.131,
2006-12,0.122,
2007-01,0.119,
2007-02,0.116,
2007-03,0.122,
2007-04,0.118,
2007-05,0.125,
2007-06,0.160,
2007-07,0.141,
2007-08,0.156,
2007-09,0.147,
2007-10,0.144,
2007-11,0.137,
2007-12,0.125,
2008-01,0.116,
2008-02,0.119,
2008-03,0.125,
2008-04,0.137,
2008-05,0.144,
2008-06,0.148,
2008-07,0.151,
2008-08,0.154,
2008-09,0.145,
2008-10,0.140,
2008-11,0.134,
2008-12,0.121,
2009-01,0.107,
2009-02,0.109,
2009-03,0.094,
2009-04,0.098,
2009-05,0.100,
2009-06,0.102,
2009-07,0.103,
2009-08,0.104,
2009-09,0.108,
2009-10,0.102,
2009-11,0.099,
2009-12,0.098,
2010-01,0.096,
2010-02,0.093,
2010-03,0.107,
2010-04,0.102,
2010-05,0.119,
2010-06,0.128,
2010-07,0.127,
2010-08,0.125,
2010-09,0.120,
2010-10,0.126,
2010-11,0.123,
2010-12,0.126,
2011-01,0.127,
2011-02,0.123,
2011-03,0.137,
2011-04,0.130,
2011-05,0.139,
2011-06,0.149,
2011-07,0.158,
2011-08,0.152,
2011-09,0.163,
2011-10,0.163,
2011-11,0.150,
2011-12,0.149,
2012-01,0.136,
2012-02,0.137,
2012-03,0.134,
2012-04,0.129,
2012-05,0.132,
2012-06,0.145,
2012-07,0.146,
2012-08,0.151,
2012-09,0.160,
2012-10,0.152,
2012-11,0.153,
2012-12,0.146,
2013-01,0.126,
2013-02,0.129,
2013-03,0.125,
2013-04,0.134,
2013-05,0.127,
2013-06,0.141,
2013-07,0.155,
2013-08,0.153,
2013-09,0.173,
2013-10,0.184,
2013-11,0.181,
2013-12,0.241,
2014-01,0.176,
2014-02,0.187,
2014-03,0.187,
2014-04,0.164,
2014-05,0.176,
2014-06,0.167,
2014-07,0.197,
2014-08,0.203,
2014-09,0.185,
2014-10,0.179,
2014-11,0.164,
2014-12,0.245,
