"",BBFB1.Q.N.DE.R12.S1.S1.T.L.FA._T.F._Z._T._X.N,BBFB1.Q.N.DE.R12.S1.S1.T.L.FA._T.F._Z._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Offshore financial centers,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:49:55,
1991-01,774.916,
1991-04,-106.943,
1991-07,621.326,
1991-10,856.767,
1992-01,747.553,
1992-04,1427.238,
1992-07,1846.658,
1992-10,1410.857,
1993-01,147.742,
1993-04,1389.867,
1993-07,183.802,
1993-10,515.057,
1994-01,2080.660,
1994-04,793.278,
1994-07,1430.499,
1994-10,73.629,
1995-01,529.716,
1995-04,2242.570,
1995-07,735.734,
1995-10,2301.723,
1996-01,1472.048,
1996-04,665.554,
1996-07,558.007,
1996-10,820.513,
1997-01,2328.893,
1997-04,2397.242,
1997-07,2028.101,
1997-10,-15.148,
1998-01,3569.442,
1998-04,5551.697,
1998-07,-903.017,
1998-10,10153.072,
1999-01,1343.654,
1999-04,13991.094,
1999-07,5463.612,
1999-10,5965.405,
2000-01,-214.026,
2000-04,5438.107,
2000-07,2451.082,
2000-10,-4200.712,
2001-01,11066.723,
2001-04,2989.945,
2001-07,3351.323,
2001-10,-3789.486,
2002-01,16899.661,
2002-04,3036.140,
2002-07,-3682.731,
2002-10,-5535.766,
2003-01,6014.284,
2003-04,1860.510,
2003-07,-13382.688,
2003-10,5062.951,
2004-01,-989.459,
2004-04,-8861.447,
2004-07,-2439.957,
2004-10,2637.312,
2005-01,-1550.267,
2005-04,-2135.961,
2005-07,168.005,
2005-10,-6230.010,
2006-01,-225.623,
2006-04,9798.644,
2006-07,9735.472,
2006-10,14858.390,
2007-01,2395.446,
2007-04,-6218.078,
2007-07,-113.728,
2007-10,7565.513,
2008-01,-110.916,
2008-04,-2115.983,
2008-07,-5271.386,
2008-10,7329.781,
2009-01,-196.228,
2009-04,-4035.076,
2009-07,-4717.989,
2009-10,-814.886,
2010-01,-1001.376,
2010-04,10192.868,
2010-07,-1633.973,
2010-10,3448.324,
2011-01,-11979.718,
2011-04,914.651,
2011-07,2731.367,
2011-10,3814.279,
2012-01,2358.027,
2012-04,2710.499,
2012-07,3552.787,
2012-10,2872.687,
2013-01,469.834,
2013-04,209.375,
2013-07,-1052.474,
2013-10,4350.496,
2014-01,3116.470,
2014-04,6012.316,
2014-07,8111.463,
2014-10,30013.340,
