"",BBK01.OELI08Q,BBK01.OELI08Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:56:13,
2002-01,2.896,
2002-04,2.876,
2002-07,2.866,
2002-10,2.912,
2003-01,2.932,
2003-04,2.950,
2003-07,2.969,
2003-10,3.010,
2004-01,3.040,
2004-04,3.065,
2004-07,3.053,
2004-10,3.068,
2005-01,3.055,
2005-04,3.032,
2005-07,3.033,
2005-10,3.076,
2006-01,3.092,
2006-04,3.095,
2006-07,3.038,
2006-10,2.983,
2007-01,2.914,
2007-04,2.836,
2007-07,2.767,
2007-10,2.712,
2008-01,2.637,
2008-04,2.567,
2008-07,2.491,
2008-10,2.557,
2009-01,2.697,
2009-04,2.803,
2009-07,2.894,
2009-10,3.063,
2010-01,3.222,
2010-04,3.339,
2010-07,3.557,
2010-10,3.715,
2011-01,3.824,
2011-04,3.810,
2011-07,3.768,
2011-10,3.851,
2012-01,3.813,
2012-04,3.804,
2012-07,3.824,
2012-10,3.894,
2013-01,3.937,
2013-04,3.968,
2013-07,3.992,
2013-10,4.029,
2014-01,4.016,
2014-04,4.039,
2014-07,4.053,
