"",BBK01.OEYI01R,BBK01.OEYI01R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:57:38,
2002-01,0.179,
2002-04,0.130,
2002-07,0.151,
2002-10,0.215,
2003-01,0.033,
2003-04,0.032,
2003-07,0.058,
2003-10,0.062,
2004-01,0.050,
2004-04,0.054,
2004-07,0.041,
2004-10,0.058,
2005-01,0.029,
2005-04,0.029,
2005-07,0.114,
2005-10,0.042,
2006-01,0.039,
2006-04,0.049,
2006-07,0.052,
2006-10,0.055,
2007-01,0.058,
2007-04,0.042,
2007-07,0.032,
2007-10,0.020,
2008-01,0.015,
2008-04,0.026,
2008-07,0.025,
2008-10,0.035,
2009-01,0.065,
2009-04,0.031,
2009-07,0.046,
2009-10,0.061,
2010-01,0.049,
2010-04,0.069,
2010-07,0.084,
2010-10,0.092,
2011-01,0.085,
2011-04,0.058,
2011-07,0.092,
2011-10,0.074,
2012-01,0.036,
2012-04,0.040,
2012-07,0.076,
2012-10,0.050,
2013-01,0.027,
2013-04,0.023,
2013-07,0.045,
2013-10,0.039,
2014-01,0.027,
2014-04,0.053,
2014-07,0.075,
