"",BBK01.OEXL04O,BBK01.OEXL04O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:19:09,
2002-01,-4.757,
2002-04,-4.482,
2002-07,-4.456,
2002-10,-4.157,
2003-01,-3.821,
2003-04,-3.588,
2003-07,-3.245,
2003-10,-3.043,
2004-01,-2.814,
2004-04,-2.689,
2004-07,-2.551,
2004-10,-2.395,
2005-01,0.094,
2005-04,0.094,
2005-07,0.090,
2005-10,0.092,
2006-01,0.089,
2006-04,0.069,
2006-07,0.104,
2006-10,0.147,
2007-01,0.146,
2007-04,0.146,
2007-07,0.140,
2007-10,0.195,
2008-01,0.222,
2008-04,0.209,
2008-07,0.240,
2008-10,0.269,
2009-01,0.223,
2009-04,0.181,
2009-07,0.172,
2009-10,0.180,
2010-01,0.205,
2010-04,0.253,
2010-07,0.223,
2010-10,0.192,
2011-01,0.215,
2011-04,0.208,
2011-07,0.194,
2011-10,0.212,
2012-01,0.221,
2012-04,0.298,
2012-07,0.305,
2012-10,0.293,
2013-01,0.280,
2013-04,0.302,
2013-07,0.289,
2013-10,0.273,
2014-01,0.277,
2014-04,0.278,
2014-07,0.303,
