"",BBK01.OEYI04J,BBK01.OEYI04J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:57:55,
2002-01,1.033,
2002-04,0.853,
2002-07,0.775,
2002-10,0.809,
2003-01,0.772,
2003-04,0.983,
2003-07,0.916,
2003-10,0.757,
2004-01,1.031,
2004-04,1.101,
2004-07,1.219,
2004-10,0.818,
2005-01,1.038,
2005-04,1.080,
2005-07,1.203,
2005-10,1.547,
2006-01,1.220,
2006-04,1.401,
2006-07,1.518,
2006-10,1.242,
2007-01,1.257,
2007-04,1.291,
2007-07,1.810,
2007-10,1.625,
2008-01,1.395,
2008-04,1.642,
2008-07,2.038,
2008-10,1.985,
2009-01,1.712,
2009-04,1.571,
2009-07,1.429,
2009-10,1.367,
2010-01,1.619,
2010-04,2.126,
2010-07,1.933,
2010-10,1.998,
2011-01,1.693,
2011-04,1.805,
2011-07,1.763,
2011-10,1.988,
2012-01,2.103,
2012-04,1.357,
2012-07,1.073,
2012-10,1.158,
2013-01,1.320,
2013-04,1.086,
2013-07,1.011,
2013-10,1.102,
2014-01,1.035,
2014-04,0.973,
2014-07,0.952,
