"",BBK01.OEAE22S,BBK01.OEAE22S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:05:55,
2002-01,0.026,
2002-04,0.030,
2002-07,0.030,
2002-10,0.028,
2003-01,0.026,
2003-04,0.026,
2003-07,0.026,
2003-10,0.023,
2004-01,0.023,
2004-04,0.023,
2004-07,0.022,
2004-10,0.020,
2005-01,0.022,
2005-04,0.020,
2005-07,0.019,
2005-10,0.019,
2006-01,0.020,
2006-04,0.025,
2006-07,0.028,
2006-10,0.028,
2007-01,0.028,
2007-04,0.029,
2007-07,0.030,
2007-10,0.023,
2008-01,0.020,
2008-04,0.018,
2008-07,0.012,
2008-10,0.013,
2009-01,0.017,
2009-04,0.018,
2009-07,0.021,
2009-10,0.019,
2010-01,0.018,
2010-04,0.018,
2010-07,0.021,
2010-10,0.019,
2011-01,0.020,
2011-04,0.022,
2011-07,0.024,
2011-10,0.024,
2012-01,0.026,
2012-04,0.030,
2012-07,0.030,
2012-10,0.025,
2013-01,0.024,
2013-04,0.025,
2013-07,0.028,
2013-10,0.030,
2014-01,0.030,
2014-04,0.032,
2014-07,0.034,
