"",BBK01.OEAA31I,BBK01.OEAA31I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:16:18,
2002-01,12.021,
2002-04,11.837,
2002-07,11.138,
2002-10,11.037,
2003-01,10.828,
2003-04,10.686,
2003-07,10.590,
2003-10,10.368,
2004-01,10.205,
2004-04,10.099,
2004-07,10.342,
2004-10,10.135,
2005-01,10.073,
2005-04,9.975,
2005-07,9.967,
2005-10,9.617,
2006-01,9.852,
2006-04,10.189,
2006-07,9.885,
2006-10,9.786,
2007-01,9.637,
2007-04,9.507,
2007-07,9.331,
2007-10,8.846,
2008-01,8.909,
2008-04,8.833,
2008-07,8.732,
2008-10,8.554,
2009-01,8.523,
2009-04,9.335,
2009-07,9.188,
2009-10,9.102,
2010-01,8.902,
2010-04,8.474,
2010-07,8.384,
2010-10,8.200,
2011-01,8.271,
2011-04,8.213,
2011-07,8.136,
2011-10,8.028,
2012-01,7.925,
2012-04,9.276,
2012-07,9.285,
2012-10,9.254,
2013-01,9.218,
2013-04,9.236,
2013-07,9.328,
2013-10,9.404,
2014-01,9.490,
2014-04,9.504,
2014-07,9.545,
