"",BBFB1.Q.N.DE.E14000.S1.S1.T.C.S._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.E14000.S1.S1.T.C.S._Z._Z._Z._T._X.N_FLAGS
"",Current account / Services / Receipts / Other European countries (acc. to Supplement 3),
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:31:19,
1991-01,1188.797,
1991-04,1311.143,
1991-07,1348.623,
1991-10,1359.856,
1992-01,1199.081,
1992-04,1282.578,
1992-07,1230.198,
1992-10,1322.504,
1993-01,1127.838,
1993-04,1252.935,
1993-07,1295.841,
1993-10,1357.661,
1994-01,1155.609,
1994-04,1165.367,
1994-07,1290.777,
1994-10,1240.338,
1995-01,1262.804,
1995-04,1229.554,
1995-07,1316.421,
1995-10,1493.865,
1996-01,1271.439,
1996-04,1435.862,
1996-07,1425.299,
1996-10,1559.686,
1997-01,1452.862,
1997-04,1703.365,
1997-07,1732.461,
1997-10,2004.839,
1998-01,1780.226,
1998-04,1719.598,
1998-07,1960.719,
1998-10,1919.554,
1999-01,1708.468,
1999-04,1780.960,
1999-07,1864.965,
1999-10,1947.539,
2000-01,1933.382,
2000-04,2037.248,
2000-07,2054.871,
2000-10,2241.297,
2001-01,2031.530,
2001-04,2247.183,
2001-07,2323.657,
2001-10,2568.931,
2002-01,2061.846,
2002-04,2342.907,
2002-07,2354.671,
2002-10,2465.866,
2003-01,2311.502,
2003-04,2777.671,
2003-07,3101.810,
2003-10,3664.250,
2004-01,3291.606,
2004-04,3556.703,
2004-07,3786.615,
2004-10,4233.088,
2005-01,3184.280,
2005-04,3595.042,
2005-07,3683.941,
2005-10,4109.714,
2006-01,3575.066,
2006-04,4176.748,
2006-07,4065.077,
2006-10,4347.008,
2007-01,3903.119,
2007-04,4557.072,
2007-07,4943.910,
2007-10,4800.389,
2008-01,4613.382,
2008-04,4888.389,
2008-07,5179.989,
2008-10,5410.388,
2009-01,4397.147,
2009-04,4574.886,
2009-07,5013.502,
2009-10,5011.499,
2010-01,4875.298,
2010-04,5280.589,
2010-07,5351.466,
2010-10,5695.978,
2011-01,5019.057,
2011-04,5353.757,
2011-07,5773.374,
2011-10,6355.231,
2012-01,5569.594,
2012-04,5790.201,
2012-07,5829.721,
2012-10,6745.239,
2013-01,5768.083,
2013-04,6070.351,
2013-07,6209.496,
2013-10,7105.795,
2014-01,6521.503,Provisional value
2014-04,6779.838,Provisional value
2014-07,6769.548,Provisional value
