"",BBK01.OEAC30K,BBK01.OEAC30K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:52:44,
2002-01,0.238,
2002-04,0.242,
2002-07,0.256,
2002-10,0.239,
2003-01,0.247,
2003-04,0.229,
2003-07,0.214,
2003-10,0.196,
2004-01,0.207,
2004-04,0.210,
2004-07,0.220,
2004-10,0.213,
2005-01,0.266,
2005-04,0.198,
2005-07,0.196,
2005-10,0.192,
2006-01,0.240,
2006-04,0.288,
2006-07,0.316,
2006-10,0.229,
2007-01,0.221,
2007-04,0.225,
2007-07,0.201,
2007-10,0.202,
2008-01,0.179,
2008-04,0.262,
2008-07,0.224,
2008-10,0.195,
2009-01,0.196,
2009-04,0.190,
2009-07,0.212,
2009-10,0.208,
2010-01,0.182,
2010-04,0.167,
2010-07,0.187,
2010-10,0.135,
2011-01,0.152,
2011-04,0.227,
2011-07,0.163,
2011-10,0.135,
2012-01,0.129,
2012-04,0.142,
2012-07,0.149,
2012-10,0.145,
2013-01,0.157,
2013-04,0.144,
2013-07,0.159,
2013-10,0.125,
2014-01,0.114,
2014-04,0.112,
2014-07,0.097,
