"",BBK01.OEAH04V,BBK01.OEAH04V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:31:47,
2002-01,9.940,
2002-04,8.371,
2002-07,8.234,
2002-10,10.996,
2003-01,6.717,
2003-04,6.494,
2003-07,7.029,
2003-10,6.771,
2004-01,6.194,
2004-04,5.403,
2004-07,5.470,
2004-10,6.435,
2005-01,5.580,
2005-04,5.850,
2005-07,5.167,
2005-10,5.316,
2006-01,5.305,
2006-04,5.480,
2006-07,5.748,
2006-10,6.049,
2007-01,6.319,
2007-04,6.468,
2007-07,6.580,
2007-10,7.590,
2008-01,7.683,
2008-04,7.758,
2008-07,8.271,
2008-10,8.444,
2009-01,6.273,
2009-04,5.230,
2009-07,4.158,
2009-10,4.254,
2010-01,3.877,
2010-04,3.953,
2010-07,3.631,
2010-10,3.693,
2011-01,3.735,
2011-04,3.685,
2011-07,4.370,
2011-10,4.938,
2012-01,4.720,
2012-04,5.709,
2012-07,5.645,
2012-10,5.518,
2013-01,5.510,
2013-04,5.062,
2013-07,5.501,
2013-10,5.687,
2014-01,5.312,
2014-04,5.744,
2014-07,5.517,
