"",BBK01.OEAD13I,BBK01.OEAD13I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:58:04,
2002-01,0.024,
2002-04,0.050,
2002-07,0.023,
2002-10,0.021,
2003-01,0.021,
2003-04,0.046,
2003-07,0.057,
2003-10,0.048,
2004-01,0.051,
2004-04,0.050,
2004-07,0.052,
2004-10,0.052,
2005-01,0.061,
2005-04,0.057,
2005-07,0.058,
2005-10,0.057,
2006-01,0.062,
2006-04,0.058,
2006-07,0.055,
2006-10,0.051,
2007-01,0.051,
2007-04,0.057,
2007-07,0.055,
2007-10,0.054,
2008-01,0.059,
2008-04,0.058,
2008-07,0.061,
2008-10,0.058,
2009-01,0.055,
2009-04,0.051,
2009-07,0.052,
2009-10,0.051,
2010-01,0.049,
2010-04,0.046,
2010-07,0.049,
2010-10,0.042,
2011-01,0.045,
2011-04,0.041,
2011-07,0.039,
2011-10,0.034,
2012-01,0.034,
2012-04,0.035,
2012-07,0.034,
2012-10,0.029,
2013-01,0.031,
2013-04,0.030,
2013-07,0.031,
2013-10,0.031,
2014-01,0.030,
2014-04,0.029,
2014-07,0.028,
