"",BBK01.OELB04V,BBK01.OELB04V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:42:50,
2002-01,2.945,
2002-04,2.962,
2002-07,2.956,
2002-10,2.996,
2003-01,3.002,
2003-04,3.011,
2003-07,3.068,
2003-10,3.059,
2004-01,3.034,
2004-04,3.040,
2004-07,3.040,
2004-10,3.152,
2005-01,3.120,
2005-04,3.131,
2005-07,3.151,
2005-10,3.189,
2006-01,3.164,
2006-04,3.182,
2006-07,3.190,
2006-10,3.115,
2007-01,3.108,
2007-04,3.125,
2007-07,3.160,
2007-10,3.182,
2008-01,3.185,
2008-04,3.222,
2008-07,3.283,
2008-10,3.321,
2009-01,3.317,
2009-04,3.353,
2009-07,3.359,
2009-10,3.414,
2010-01,3.459,
2010-04,3.444,
2010-07,3.523,
2010-10,3.466,
2011-01,3.499,
2011-04,3.663,
2011-07,3.741,
2011-10,3.848,
2012-01,3.902,
2012-04,5.248,
2012-07,5.355,
2012-10,5.454,
2013-01,5.514,
2013-04,5.606,
2013-07,5.718,
2013-10,5.796,
2014-01,5.850,
2014-04,5.940,
2014-07,6.126,
