"",BBK01.OEAN03V,BBK01.OEAN03V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:12:22,
2002-01,4.695,
2002-04,4.453,
2002-07,4.415,
2002-10,4.411,
2003-01,4.486,
2003-04,5.084,
2003-07,4.991,
2003-10,4.980,
2004-01,4.388,
2004-04,4.249,
2004-07,4.137,
2004-10,4.084,
2005-01,3.862,
2005-04,3.756,
2005-07,3.939,
2005-10,3.755,
2006-01,3.610,
2006-04,3.495,
2006-07,3.338,
2006-10,3.291,
2007-01,3.218,
2007-04,3.024,
2007-07,2.900,
2007-10,2.927,
2008-01,2.859,
2008-04,2.752,
2008-07,2.653,
2008-10,2.616,
2009-01,2.683,
2009-04,2.841,
2009-07,2.844,
2009-10,2.964,
2010-01,3.195,
2010-04,3.344,
2010-07,3.332,
2010-10,3.145,
2011-01,3.094,
2011-04,3.245,
2011-07,3.217,
2011-10,3.176,
2012-01,3.208,
2012-04,3.204,
2012-07,3.337,
2012-10,3.390,
2013-01,3.525,
2013-04,3.544,
2013-07,3.628,
2013-10,3.734,
2014-01,3.888,
2014-04,3.872,
2014-07,3.954,
