"",BBK01.OEHJ08V,BBK01.OEHJ08V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:03:02,
2002-01,0.015,
2002-04,0.015,
2002-07,0.014,
2002-10,0.015,
2003-01,0.017,
2003-04,0.016,
2003-07,0.021,
2003-10,0.025,
2004-01,0.032,
2004-04,0.033,
2004-07,0.028,
2004-10,0.028,
2005-01,0.027,
2005-04,0.034,
2005-07,0.030,
2005-10,0.029,
2006-01,0.033,
2006-04,0.032,
2006-07,0.032,
2006-10,0.029,
2007-01,0.027,
2007-04,0.026,
2007-07,0.025,
2007-10,0.025,
2008-01,0.024,
2008-04,0.026,
2008-07,0.026,
2008-10,0.026,
2009-01,0.027,
2009-04,0.031,
2009-07,0.040,
2009-10,0.041,
2010-01,0.047,
2010-04,0.050,
2010-07,0.062,
2010-10,0.063,
2011-01,0.067,
2011-04,0.067,
2011-07,0.047,
2011-10,0.048,
2012-01,0.049,
2012-04,0.058,
2012-07,0.063,
2012-10,0.073,
2013-01,0.075,
2013-04,0.086,
2013-07,0.091,
2013-10,0.085,
2014-01,0.088,
2014-04,0.101,
2014-07,0.093,
