"",BBDE1.M.DE.W.AEN5.A2P310000.F.V.I10.A,BBDE1.M.DE.W.AEN5.A2P310000.F.V.I10.A_FLAGS
"","Orders received excluding large orders, foreign / At current prices, flows / Germany / Intermediate goods / Calendar adjusted only",
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-05 08:20:03,
2010-01,92.8,
2010-02,92.9,
2010-03,104.7,
2010-04,99.3,
2010-05,99.6,
2010-06,103.5,
2010-07,102.5,
2010-08,93.2,
2010-09,102.7,
2010-10,102.2,
2010-11,104.4,
2010-12,97.4,
2011-01,114.6,
2011-02,110.1,
2011-03,123.5,
2011-04,109.2,
2011-05,108.3,
2011-06,113.8,
2011-07,109.4,
2011-08,99.5,
2011-09,106.0,
2011-10,103.7,
2011-11,101.0,
2011-12,96.1,
2012-01,111.5,
2012-02,106.7,
2012-03,115.6,
2012-04,104.9,
2012-05,108.3,
2012-06,108.7,
2012-07,106.4,
2012-08,96.9,
2012-09,100.2,
2012-10,104.1,
2012-11,102.5,
2012-12,93.6,
2013-01,105.7,
2013-02,102.6,
2013-03,118.2,
2013-04,105.0,
2013-05,105.1,
2013-06,105.0,
2013-07,104.9,
2013-08,94.0,
2013-09,103.7,
2013-10,108.7,
2013-11,104.2,
2013-12,92.4,
2014-01,110.4,
2014-02,108.4,
2014-03,114.7,
2014-04,107.6,
2014-05,103.7,
2014-06,109.9,
2014-07,109.0,
2014-08,95.8,
2014-09,106.4,
2014-10,108.7,
2014-11,108.9,
2014-12,98.8,Provisional value
