"",BBK01.SUD006,BBK01.SUD006_FLAGS
"",Effective interest rates of German banks / Outstanding amounts / Housing loans to households with maturity of up to 1 year,
unit,% p.a. (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-03 10:26:36,
2003-01,5.86,
2003-02,5.85,
2003-03,5.83,
2003-04,5.77,
2003-05,5.70,
2003-06,5.72,
2003-07,5.53,
2003-08,5.54,
2003-09,5.48,
2003-10,5.50,
2003-11,5.44,
2003-12,5.55,
2004-01,5.43,
2004-02,5.38,
2004-03,5.32,
2004-04,5.29,
2004-05,5.27,
2004-06,5.23,
2004-07,5.24,
2004-08,5.24,
2004-09,5.27,
2004-10,5.14,
2004-11,5.12,
2004-12,5.25,
2005-01,5.20,
2005-02,5.14,
2005-03,5.14,
2005-04,5.07,
2005-05,4.99,
2005-06,4.99,
2005-07,4.93,
2005-08,4.95,
2005-09,4.95,
2005-10,4.88,
2005-11,4.89,
2005-12,5.00,
2006-01,5.07,
2006-02,5.09,
2006-03,5.17,
2006-04,5.17,
2006-05,5.21,
2006-06,5.29,
2006-07,5.29,
2006-08,5.34,
2006-09,5.39,
2006-10,5.51,
2006-11,5.57,
2006-12,5.53,
2007-01,5.58,
2007-02,5.60,
2007-03,5.64,
2007-04,5.65,
2007-05,5.67,
2007-06,5.70,
2007-07,5.85,
2007-08,5.89,
2007-09,5.94,
2007-10,6.01,
2007-11,6.00,
2007-12,5.98,
2008-01,6.19,
2008-02,6.16,
2008-03,6.18,
2008-04,6.12,
2008-05,6.18,
2008-06,6.22,
2008-07,6.21,
2008-08,6.31,
2008-09,6.28,
2008-10,6.31,
2008-11,6.31,
2008-12,6.13,
2009-01,5.81,
2009-02,5.54,
2009-03,5.34,
2009-04,5.06,
2009-05,4.97,
2009-06,4.86,
2009-07,4.64,
2009-08,4.56,
2009-09,4.51,
2009-10,4.37,
2009-11,4.38,
2009-12,4.46,
2010-01,4.37,
2010-02,4.36,
2010-03,4.34,
2010-04,4.19,
2010-05,4.16,
2010-06,4.07,
2010-07,3.92,
2010-08,4.05,
2010-09,4.18,
2010-10,4.14,
2010-11,4.06,
2010-12,3.99,
2011-01,3.91,
2011-02,3.82,
2011-03,3.88,
2011-04,3.95,
2011-05,4.04,
2011-06,4.13,
2011-07,4.17,
2011-08,4.20,
2011-09,4.23,
2011-10,4.21,
2011-11,4.22,
2011-12,4.15,
2012-01,4.09,
2012-02,4.06,
2012-03,4.03,
2012-04,3.91,
2012-05,3.85,
2012-06,3.80,
2012-07,3.70,
2012-08,3.64,
2012-09,3.59,
2012-10,3.50,
2012-11,3.48,
2012-12,3.43,
2013-01,3.35,
2013-02,3.32,
2013-03,3.32,
2013-04,3.35,
2013-05,3.34,
2013-06,3.33,
2013-07,3.28,
2013-08,3.25,
2013-09,3.29,
2013-10,3.23,
2013-11,3.17,
2013-12,3.29,
2014-01,3.16,
2014-02,3.20,
2014-03,3.22,
2014-04,3.17,
2014-05,3.17,
2014-06,3.17,
2014-07,3.08,
2014-08,3.09,
2014-09,3.09,
2014-10,3.05,
2014-11,2.98,
2014-12,3.04,Provisional value
"","General: Volume-weighted average interest rates on outstanding amounts as end-of-period. The effective interest rates are calculated either as annualised agreed interest rates or as narrowly defined effective rates. Both calculation methods cover all interest payments on deposits and loans but not any other related charges which may occur for enquiries, administration, preparation of the documents, guarantees and credit insurance. Secured and unsecured loans for home purchase, including building and home improvements; including loans granted by building and loan associations and interim credits as well as transmitted loans granted by the reporting agents in their own name and for their own account. Including overdrafts. p = Provisional",
