"",BBFN1.M.DE.N.1.A.PK.S1P.H1.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.PK.S1P.H1.T.N000.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents arising from credit terms granted / Total / Pakistan,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:28:24,
1994-07,0.134,
1994-08,0.137,
1994-09,0.137,
1994-10,0.137,
1994-11,0.164,
1994-12,0.172,
1995-01,0.156,
1995-02,0.162,
1995-03,0.154,
1995-04,0.139,
1995-05,0.154,
1995-06,0.158,
1995-07,0.138,
1995-08,0.134,
1995-09,0.150,
1995-10,0.151,
1995-11,0.149,
1995-12,0.156,
1996-01,0.147,
1996-02,0.132,
1996-03,0.148,
1996-04,0.155,
1996-05,0.152,
1996-06,0.156,
1996-07,0.135,
1996-08,0.133,
1996-09,0.144,
1996-10,0.129,
1996-11,0.120,
1996-12,0.110,
1997-01,0.108,
1997-02,0.105,
1997-03,0.106,
1997-04,0.109,
1997-05,0.109,
1997-06,0.111,
1997-07,0.120,
1997-08,0.181,
1997-09,0.177,
1997-10,0.187,
1997-11,0.194,
1997-12,0.216,
1998-01,0.121,
1998-02,0.129,
1998-03,0.188,
1998-04,0.168,
1998-05,0.159,
1998-06,0.151,
1998-07,0.172,
1998-08,0.170,
1998-09,0.165,
1998-10,0.156,
1998-11,0.156,
1998-12,0.158,
1999-01,0.151,
1999-02,0.149,
1999-03,0.135,
1999-04,0.122,
1999-05,0.102,
1999-06,0.117,
1999-07,0.121,
1999-08,0.109,
1999-09,0.106,
1999-10,0.082,
1999-11,0.113,
1999-12,0.108,
2000-01,0.129,
2000-02,0.125,
2000-03,0.139,
2000-04,0.135,
2000-05,0.133,
2000-06,0.133,
2000-07,0.148,
2000-08,0.148,
2000-09,0.146,
2000-10,0.106,
2000-11,0.107,
2000-12,0.112,
2001-01,0.108,
2001-02,0.108,
2001-03,0.107,
2001-04,0.112,
2001-05,0.108,
2001-06,0.113,
2001-07,0.066,
2001-08,0.112,
2001-09,0.114,
2001-10,0.100,
2001-11,0.090,
2001-12,0.089,
2002-01,0.092,
2002-02,0.116,
2002-03,0.089,
2002-04,0.072,
2002-05,0.101,
2002-06,0.092,
2002-07,0.092,
2002-08,0.103,
2002-09,0.092,
2002-10,0.093,
2002-11,0.091,
2002-12,0.094,
2003-01,0.093,
2003-02,0.097,
2003-03,0.090,
2003-04,0.092,
2003-05,0.098,
2003-06,0.100,
2003-07,0.100,
2003-08,0.096,
2003-09,0.103,
2003-10,0.104,
2003-11,0.102,
2003-12,0.106,
2004-01,0.105,
2004-02,0.100,
2004-03,0.103,
2004-04,0.109,
2004-05,0.113,
2004-06,0.126,
2004-07,0.116,
2004-08,0.113,
2004-09,0.122,
2004-10,0.140,
2004-11,0.143,
2004-12,0.148,
2005-01,0.142,
2005-02,0.150,
2005-03,0.164,
2005-04,0.172,
2005-05,0.175,
2005-06,0.175,
2005-07,0.173,
2005-08,0.211,
2005-09,0.251,
2005-10,0.254,
2005-11,0.206,
2005-12,0.226,
2006-01,0.201,
2006-02,0.239,
2006-03,0.224,
2006-04,0.220,
2006-05,0.219,
2006-06,0.141,
2006-07,0.193,
2006-08,0.188,
2006-09,0.224,
2006-10,0.244,
2006-11,0.213,
2006-12,0.247,
2007-01,0.194,
2007-02,0.208,
2007-03,0.199,
2007-04,0.179,
2007-05,0.195,
2007-06,0.161,
2007-07,0.185,
2007-08,0.218,
2007-09,0.206,
2007-10,0.175,
2007-11,0.194,
2007-12,0.206,
2008-01,0.165,
2008-02,0.190,
2008-03,0.182,
2008-04,0.191,
2008-05,0.188,
2008-06,0.186,
2008-07,0.217,
2008-08,0.233,
2008-09,0.214,
2008-10,0.203,
2008-11,0.250,
2008-12,0.199,
2009-01,0.191,
2009-02,0.170,
2009-03,0.181,
2009-04,0.197,
2009-05,0.192,
2009-06,0.247,
2009-07,0.187,
2009-08,0.193,
2009-09,0.205,
2009-10,0.218,
2009-11,0.216,
2009-12,0.196,
2010-01,0.183,
2010-02,0.202,
2010-03,0.210,
2010-04,0.195,
2010-05,0.198,
2010-06,0.206,
2010-07,0.204,
2010-08,0.201,
2010-09,0.206,
2010-10,0.212,
2010-11,.,No value available
2010-12,0.214,
2011-01,0.201,
2011-02,0.211,
2011-03,.,No value available
2011-04,.,No value available
2011-05,.,No value available
2011-06,0.200,
2011-07,0.195,
2011-08,0.190,
2011-09,0.204,
2011-10,0.191,
2011-11,0.205,
2011-12,0.181,
2012-01,0.182,
2012-02,0.180,
2012-03,0.185,
2012-04,0.171,
2012-05,0.172,
2012-06,0.142,
2012-07,0.136,
2012-08,0.130,
2012-09,0.133,
2012-10,0.132,
2012-11,0.184,
2012-12,0.178,
2013-01,0.192,
2013-02,0.184,
2013-03,0.188,
2013-04,0.190,
2013-05,0.222,
2013-06,0.209,
2013-07,0.200,
2013-08,0.213,
2013-09,0.207,
2013-10,0.206,
2013-11,0.194,
2013-12,0.215,
2014-01,0.191,
2014-02,0.206,
2014-03,0.201,
2014-04,0.195,
2014-05,0.200,
2014-06,0.194,
2014-07,0.198,
2014-08,0.202,
2014-09,0.208,
2014-10,0.198,
2014-11,0.190,
2014-12,0.188,
