"",BBFB1.Q.N.DE.SE.S1.S1.T.L.FA.D.F5B._Z._T._X.N,BBFB1.Q.N.DE.SE.S1.S1.T.L.FA.D.F5B._Z._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Direct investment / Equity / Reinvested earnings / Sweden,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:43:39,
1991-01,-22.883,
1991-04,-21.667,
1991-07,-20.684,
1991-10,-20.684,
1992-01,20.147,
1992-04,20.736,
1992-07,9.488,
1992-10,20.736,
1993-01,-36.550,
1993-04,-35.512,
1993-07,-94.068,
1993-10,-35.512,
1994-01,-11.782,
1994-04,-11.906,
1994-07,-11.731,
1994-10,-23.780,
1995-01,-232.169,
1995-04,-233.192,
1995-07,-232.707,
1995-10,-260.708,
1996-01,51.643,
1996-04,52.548,
1996-07,52.548,
1996-10,36.100,
1997-01,-4.827,
1997-04,-,Nothing exists
1997-07,-,Nothing exists
1997-10,-0.273,
1998-01,-,Nothing exists
1998-04,-11.239,
1998-07,-,Nothing exists
1998-10,-,Nothing exists
1999-01,137.571,
1999-04,153.000,
1999-07,153.000,
1999-10,153.000,
2000-01,35.072,
2000-04,37.565,
2000-07,36.000,
2000-10,36.000,
2001-01,46.662,
2001-04,34.271,
2001-07,13.297,
2001-10,55.274,
2002-01,37.378,
2002-04,-466.469,
2002-07,119.362,
2002-10,135.360,
2003-01,39.091,
2003-04,25.420,
2003-07,15.219,
2003-10,-12.363,
2004-01,282.686,
2004-04,169.916,
2004-07,148.841,
2004-10,305.883,
2005-01,123.617,
2005-04,30.221,
2005-07,52.419,
2005-10,-69.429,
2006-01,170.861,
2006-04,16.658,
2006-07,138.408,
2006-10,244.387,
2007-01,184.985,
2007-04,228.068,
2007-07,37.721,
2007-10,103.495,
2008-01,-425.607,
2008-04,133.352,
2008-07,291.755,
2008-10,-361.879,
2009-01,-79.003,
2009-04,-86.856,
2009-07,67.954,
2009-10,135.587,
2010-01,410.513,
2010-04,549.309,
2010-07,522.820,
2010-10,524.326,
2011-01,1.233,
2011-04,-51.155,
2011-07,24.863,
2011-10,-58.640,
2012-01,21.027,
2012-04,-28.425,
2012-07,36.096,
2012-10,-45.681,
2013-01,313.407,
2013-04,269.185,
2013-07,261.725,
2013-10,258.267,
2014-01,291.183,Provisional value
2014-04,236.979,Provisional value
2014-07,224.808,Provisional value
2014-10,311.334,Provisional value
