"",BBDE1.M.DE.Y.AED1.A2P320000.F.C.I10.A,BBDE1.M.DE.Y.AED1.A2P320000.F.C.I10.A_FLAGS
"","Orders received from abroad, Euro-area countries / At constant prices / Germany / Capital goods / Calendar and seasonally adjusted",
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-05 08:17:23,
2003-01,95.6,
2003-02,89.5,
2003-03,88.2,
2003-04,95.3,
2003-05,82.0,
2003-06,97.5,
2003-07,86.5,
2003-08,90.5,
2003-09,88.0,
2003-10,89.3,
2003-11,86.5,
2003-12,82.7,
2004-01,91.9,
2004-02,89.1,
2004-03,93.1,
2004-04,95.5,
2004-05,96.9,
2004-06,97.8,
2004-07,101.8,
2004-08,97.7,
2004-09,105.7,
2004-10,100.2,
2004-11,90.1,
2004-12,96.7,
2005-01,98.8,
2005-02,97.8,
2005-03,103.4,
2005-04,100.2,
2005-05,102.9,
2005-06,98.7,
2005-07,110.4,
2005-08,107.1,
2005-09,108.9,
2005-10,113.2,
2005-11,119.1,
2005-12,125.5,
2006-01,117.2,
2006-02,118.1,
2006-03,114.7,
2006-04,120.0,
2006-05,114.8,
2006-06,110.5,
2006-07,110.1,
2006-08,118.5,
2006-09,113.2,
2006-10,115.2,
2006-11,117.6,
2006-12,123.7,
2007-01,127.1,
2007-02,133.8,
2007-03,129.3,
2007-04,127.7,
2007-05,134.2,
2007-06,165.3,
2007-07,129.5,
2007-08,132.1,
2007-09,136.6,
2007-10,146.3,
2007-11,153.4,
2007-12,147.7,
2008-01,142.6,
2008-02,141.3,
2008-03,135.6,
2008-04,126.2,
2008-05,132.7,
2008-06,116.1,
2008-07,129.6,
2008-08,110.6,
2008-09,106.0,
2008-10,94.0,
2008-11,93.2,
2008-12,68.8,
2009-01,71.2,
2009-02,74.0,
2009-03,80.3,
2009-04,73.5,
2009-05,74.0,
2009-06,81.2,
2009-07,80.4,
2009-08,77.4,
2009-09,91.9,
2009-10,81.2,
2009-11,87.0,
2009-12,80.2,
2010-01,86.9,
2010-02,85.0,
2010-03,99.6,
2010-04,98.3,
2010-05,95.3,
2010-06,107.0,
2010-07,100.6,
2010-08,117.2,
2010-09,101.3,
2010-10,101.5,
2010-11,99.6,
2010-12,105.1,
2011-01,107.6,
2011-02,109.5,
2011-03,110.0,
2011-04,116.7,
2011-05,104.3,
2011-06,123.2,
2011-07,111.6,
2011-08,116.1,
2011-09,101.4,
2011-10,112.1,
2011-11,103.6,
2011-12,95.7,
2012-01,93.6,
2012-02,94.6,
2012-03,91.6,
2012-04,90.3,
2012-05,98.0,
2012-06,91.8,
2012-07,92.0,
2012-08,95.5,
2012-09,86.6,
2012-10,91.5,
2012-11,87.9,
2012-12,92.9,
2013-01,92.7,
2013-02,91.7,
2013-03,95.7,
2013-04,92.1,
2013-05,87.8,
2013-06,109.2,
2013-07,95.5,
2013-08,90.9,
2013-09,107.4,
2013-10,102.0,
2013-11,99.9,
2013-12,117.3,
2014-01,94.7,
2014-02,106.3,
2014-03,90.8,
2014-04,100.6,
2014-05,115.5,
2014-06,95.9,
2014-07,107.9,
2014-08,96.9,
2014-09,101.0,
2014-10,98.7,
2014-11,107.8,
2014-12,117.6,Provisional value
