"",BBK01.OECB02P,BBK01.OECB02P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:35:11,
2002-01,0.782,
2002-04,0.793,
2002-07,0.809,
2002-10,0.261,
2003-01,0.367,
2003-04,0.221,
2003-07,0.294,
2003-10,0.267,
2004-01,0.226,
2004-04,0.200,
2004-07,0.249,
2004-10,0.220,
2005-01,0.205,
2005-04,0.235,
2005-07,0.241,
2005-10,0.201,
2006-01,0.212,
2006-04,0.260,
2006-07,0.266,
2006-10,0.235,
2007-01,0.231,
2007-04,0.224,
2007-07,0.206,
2007-10,0.259,
2008-01,0.252,
2008-04,0.249,
2008-07,0.196,
2008-10,0.162,
2009-01,0.155,
2009-04,0.148,
2009-07,0.158,
2009-10,0.096,
2010-01,0.157,
2010-04,0.119,
2010-07,0.128,
2010-10,0.168,
2011-01,0.167,
2011-04,0.151,
2011-07,0.197,
2011-10,0.156,
2012-01,0.194,
2012-04,0.170,
2012-07,0.212,
2012-10,0.139,
2013-01,0.190,
2013-04,0.201,
2013-07,0.185,
2013-10,0.183,
2014-01,0.193,
2014-04,0.192,
2014-07,0.204,
