"",BBK01.OUK349,BBK01.OUK349_FLAGS
"",Loans to the Federal Government and its special funds for up to and including one year / Regional institutions of credit cooperatives,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-05 08:55:33,
1999-01,0.047,
1999-02,0.911,
1999-03,1.111,
1999-04,0.611,
1999-05,0.011,
1999-06,0.011,
1999-07,0.088,
1999-08,0.611,
1999-09,0.161,
1999-10,0.111,
1999-11,1.864,
1999-12,1.636,
2000-01,1.124,
2000-02,0.834,
2000-03,0.629,
2000-04,0.130,
2000-05,0.427,
2000-06,0.527,
2000-07,0.221,
2000-08,0.021,
2000-09,0.021,
2000-10,0.462,
2000-11,1.356,
2000-12,1.308,
2001-01,0.511,
2001-02,1.011,
2001-03,0.011,
2001-04,0.511,
2001-05,0.011,
2001-06,0.017,
2001-07,0.058,
2001-08,0.161,
2001-09,0.511,
2001-10,0.132,
2001-11,1.469,
2001-12,0.941,
2002-01,0.020,
2002-02,0.020,
2002-03,0.020,
2002-04,0.420,
2002-05,0.020,
2002-06,0.220,
2002-07,1.120,
2002-08,0.013,
2002-09,0.013,
2002-10,0.011,
2002-11,0.011,
2002-12,0.511,
2003-01,1.011,
2003-02,0.011,
2003-03,0.012,
2003-04,0.011,
2003-05,1.011,
2003-06,0.211,
2003-07,0.211,
2003-08,1.012,
2003-09,0.012,
2003-10,0.087,
2003-11,0.219,
2003-12,0.003,
2004-01,0.501,
2004-02,0.301,
2004-03,0.011,
2004-04,0.010,
2004-05,0.010,
2004-06,0.010,
2004-07,0.010,
2004-08,0.010,
2004-09,0.010,
2004-10,0.010,
2004-11,0.009,
2004-12,0.011,
2005-01,0.511,
2005-02,0.011,
2005-03,0.010,
2005-04,0.010,
2005-05,0.013,
2005-06,0.013,
2005-07,0.013,
2005-08,0.013,
2005-09,0.013,
2005-10,0.016,
2005-11,0.011,
2005-12,0.265,
2006-01,0.015,
2006-02,0.015,
2006-03,0.018,
2006-04,0.021,
2006-05,0.028,
2006-06,0.028,
2006-07,0.028,
2006-08,0.028,
2006-09,0.028,
2006-10,0.031,
2006-11,0.019,
2006-12,0.022,
2007-01,0.022,
2007-02,0.022,
2007-03,0.022,
2007-04,0.022,
2007-05,0.031,
2007-06,0.031,
2007-07,0.031,
2007-08,0.023,
2007-09,0.026,
2007-10,0.027,
2007-11,0.010,
2007-12,0.020,
2008-01,0.110,
2008-02,0.010,
2008-03,0.013,
2008-04,0.013,
2008-05,0.021,
2008-06,0.029,
2008-07,0.021,
2008-08,0.021,
2008-09,0.021,
2008-10,0.512,
2008-11,0.012,
2008-12,0.052,
2009-01,0.012,
2009-02,0.012,
2009-03,0.119,
2009-04,0.119,
2009-05,0.569,
2009-06,0.119,
2009-07,0.119,
2009-08,0.119,
2009-09,0.012,
2009-10,0.012,
2009-11,0.012,
2009-12,0.012,
2010-01,0.012,
2010-02,0.012,
2010-03,0.012,
2010-04,0.012,
2010-05,0.112,
2010-06,0.012,
2010-07,0.012,
2010-08,0.013,
2010-09,0.010,
2010-10,0.010,
2010-11,0.010,
2010-12,0.010,
2011-01,0.010,
2011-02,0.010,
2011-03,0.010,
2011-04,0.010,
2011-05,0.010,
2011-06,0.010,
2011-07,0.010,
2011-08,0.010,
2011-09,0.010,
2011-10,0.010,
2011-11,0.010,
2011-12,0.010,
2012-01,0.010,
2012-02,0.026,
2012-03,0.038,
2012-04,0.049,
2012-05,0.079,
2012-06,0.067,
2012-07,0.087,
2012-08,0.086,
2012-09,0.070,
2012-10,0.068,
2012-11,0.105,
2012-12,0.118,
2013-01,0.085,
2013-02,0.106,
2013-03,0.138,
2013-04,0.158,
2013-05,0.135,
2013-06,0.086,
2013-07,0.096,
2013-08,0.060,
2013-09,0.055,
2013-10,0.066,
2013-11,0.106,
2013-12,0.098,
2014-01,0.110,
2014-02,0.124,
2014-03,0.151,
2014-04,0.140,
2014-05,0.156,
2014-06,0.163,
2014-07,0.163,
2014-08,0.163,
2014-09,0.154,
2014-10,0.157,
2014-11,0.196,
2014-12,0.196,Provisional value
