"",BBK01.OEAN02Q,BBK01.OEAN02Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:12:09,
2002-01,9.608,
2002-04,9.526,
2002-07,9.481,
2002-10,9.693,
2003-01,9.535,
2003-04,9.388,
2003-07,9.360,
2003-10,9.397,
2004-01,9.314,
2004-04,9.281,
2004-07,9.365,
2004-10,9.538,
2005-01,11.837,
2005-04,11.852,
2005-07,11.619,
2005-10,11.700,
2006-01,11.753,
2006-04,11.665,
2006-07,11.532,
2006-10,11.491,
2007-01,11.491,
2007-04,11.522,
2007-07,11.494,
2007-10,11.698,
2008-01,11.576,
2008-04,11.606,
2008-07,11.550,
2008-10,12.302,
2009-01,12.616,
2009-04,12.767,
2009-07,12.819,
2009-10,13.026,
2010-01,13.328,
2010-04,13.273,
2010-07,13.427,
2010-10,13.701,
2011-01,13.786,
2011-04,13.628,
2011-07,13.765,
2011-10,14.006,
2012-01,14.188,
2012-04,14.126,
2012-07,14.016,
2012-10,14.007,
2013-01,13.601,
2013-04,13.458,
2013-07,13.291,
2013-10,13.291,
2014-01,13.156,
2014-04,13.162,
2014-07,12.892,
