"",BBK01.OEXB20S,BBK01.OEXB20S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:39:07,
2002-01,0.985,
2002-04,1.001,
2002-07,1.023,
2002-10,1.046,
2003-01,1.064,
2003-04,1.085,
2003-07,1.118,
2003-10,1.147,
2004-01,1.140,
2004-04,1.141,
2004-07,1.161,
2004-10,1.188,
2005-01,1.206,
2005-04,1.248,
2005-07,1.242,
2005-10,1.186,
2006-01,1.187,
2006-04,1.215,
2006-07,1.239,
2006-10,1.254,
2007-01,1.259,
2007-04,1.294,
2007-07,1.278,
2007-10,1.306,
2008-01,1.252,
2008-04,1.210,
2008-07,1.221,
2008-10,1.234,
2009-01,1.227,
2009-04,1.239,
2009-07,1.301,
2009-10,1.312,
2010-01,1.321,
2010-04,1.327,
2010-07,1.328,
2010-10,1.326,
2011-01,1.331,
2011-04,1.333,
2011-07,1.340,
2011-10,1.371,
2012-01,1.370,
2012-04,1.379,
2012-07,1.393,
2012-10,1.399,
2013-01,1.413,
2013-04,1.434,
2013-07,1.454,
2013-10,1.465,
2014-01,1.471,
2014-04,1.496,
2014-07,1.502,
