"",BBFB1.Q.N.DE.DK.S1.S1.T.D.IN1._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.DK.S1.S1.T.D.IN1._Z._Z._Z._T._X.N_FLAGS
"",Current account / Primary income / Expenditure / Denmark,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:30:14,
1991-01,75.449,
1991-04,86.096,
1991-07,81.439,
1991-10,94.420,
1992-01,69.222,
1992-04,85.458,
1992-07,83.456,
1992-10,94.409,
1993-01,103.074,
1993-04,115.189,
1993-07,102.007,
1993-10,118.976,
1994-01,36.053,
1994-04,73.947,
1994-07,58.833,
1994-10,65.426,
1995-01,54.873,
1995-04,75.898,
1995-07,66.645,
1995-10,43.483,
1996-01,46.699,
1996-04,52.994,
1996-07,80.279,
1996-10,74.888,
1997-01,-106.631,
1997-04,-70.996,
1997-07,-88.576,
1997-10,-31.159,
1998-01,19.865,
1998-04,39.034,
1998-07,20.188,
1998-10,39.012,
1999-01,65.076,
1999-04,88.345,
1999-07,69.676,
1999-10,54.910,
2000-01,82.079,
2000-04,111.451,
2000-07,99.857,
2000-10,93.739,
2001-01,-83.342,
2001-04,-132.950,
2001-07,-158.800,
2001-10,-120.633,
2002-01,17.183,
2002-04,10.755,
2002-07,-22.655,
2002-10,-30.495,
2003-01,191.397,
2003-04,222.976,
2003-07,202.037,
2003-10,205.702,
2004-01,233.627,
2004-04,258.712,
2004-07,248.418,
2004-10,261.297,
2005-01,113.090,
2005-04,151.177,
2005-07,114.777,
2005-10,127.401,
2006-01,92.175,
2006-04,226.127,
2006-07,134.609,
2006-10,153.142,
2007-01,405.193,
2007-04,526.236,
2007-07,359.361,
2007-10,292.996,
2008-01,-217.315,
2008-04,511.280,
2008-07,531.660,
2008-10,230.710,
2009-01,135.300,
2009-04,222.404,
2009-07,205.185,
2009-10,271.081,
2010-01,291.919,
2010-04,357.228,
2010-07,324.229,
2010-10,315.763,
2011-01,194.151,
2011-04,233.002,
2011-07,161.584,
2011-10,149.961,
2012-01,143.847,
2012-04,279.374,
2012-07,136.477,
2012-10,134.248,
2013-01,136.857,
2013-04,191.330,
2013-07,132.295,
2013-10,127.871,
2014-01,131.452,Provisional value
2014-04,193.534,Provisional value
2014-07,130.107,Provisional value
