"",BBK01.OEAL05O,BBK01.OEAL05O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:13:23,
2002-01,4.169,
2002-04,4.109,
2002-07,3.954,
2002-10,4.096,
2003-01,4.202,
2003-04,4.254,
2003-07,4.368,
2003-10,4.680,
2004-01,4.963,
2004-04,5.030,
2004-07,5.152,
2004-10,5.564,
2005-01,7.958,
2005-04,8.054,
2005-07,8.152,
2005-10,8.289,
2006-01,8.403,
2006-04,8.372,
2006-07,8.380,
2006-10,8.429,
2007-01,8.368,
2007-04,8.270,
2007-07,8.208,
2007-10,8.291,
2008-01,8.322,
2008-04,8.199,
2008-07,8.044,
2008-10,8.647,
2009-01,8.218,
2009-04,8.173,
2009-07,8.275,
2009-10,8.750,
2010-01,9.227,
2010-04,9.332,
2010-07,9.486,
2010-10,9.674,
2011-01,9.823,
2011-04,9.780,
2011-07,9.807,
2011-10,10.004,
2012-01,10.176,
2012-04,10.220,
2012-07,10.281,
2012-10,10.452,
2013-01,10.414,
2013-04,10.335,
2013-07,10.381,
2013-10,10.514,
2014-01,10.543,
2014-04,10.473,
2014-07,10.502,
