"",BBK01.OEXJ02H,BBK01.OEXJ02H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:04:29,
2002-01,2.578,
2002-04,2.665,
2002-07,2.787,
2002-10,2.773,
2003-01,3.064,
2003-04,3.259,
2003-07,3.340,
2003-10,3.149,
2004-01,3.156,
2004-04,3.194,
2004-07,3.061,
2004-10,3.391,
2005-01,4.337,
2005-04,5.468,
2005-07,6.696,
2005-10,6.072,
2006-01,6.863,
2006-04,8.437,
2006-07,8.412,
2006-10,8.493,
2007-01,8.373,
2007-04,8.194,
2007-07,9.768,
2007-10,9.612,
2008-01,10.046,
2008-04,9.814,
2008-07,10.822,
2008-10,10.032,
2009-01,8.954,
2009-04,8.621,
2009-07,11.076,
2009-10,11.592,
2010-01,11.842,
2010-04,13.005,
2010-07,12.865,
2010-10,11.790,
2011-01,13.311,
2011-04,12.083,
2011-07,14.630,
2011-10,12.974,
2012-01,12.881,
2012-04,14.145,
2012-07,17.231,
2012-10,14.494,
2013-01,15.672,
2013-04,16.822,
2013-07,17.731,
2013-10,15.706,
2014-01,16.505,
2014-04,16.885,
2014-07,18.088,
