"",BBFB1.Q.N.DE.A1.S1.S1.T.D.G._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.A1.S1.S1.T.D.G._Z._Z._Z._T._X.N_FLAGS
"",Current account / Goods / Imports (fob) / America,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:32:18,
1991-01,6793.296,
1991-04,8189.878,
1991-07,7607.805,
1991-10,7130.600,
1992-01,7954.651,
1992-04,7466.801,
1992-07,7024.031,
1992-10,7151.843,
1993-01,6777.451,
1993-04,7023.190,
1993-07,6490.071,
1993-10,6935.327,
1994-01,7169.823,
1994-04,7577.112,
1994-07,7057.648,
1994-10,8070.614,
1995-01,7684.052,
1995-04,7571.178,
1995-07,7274.840,
1995-10,8185.691,
1996-01,7680.817,
1996-04,8168.570,
1996-07,7720.933,
1996-10,7866.077,
1997-01,8288.523,
1997-04,9797.737,
1997-07,9191.551,
1997-10,9279.729,
1998-01,10403.019,
1998-04,10765.552,
1998-07,10343.848,
1998-10,10378.923,
1999-01,10395.641,
1999-04,11358.618,
1999-07,11446.270,
1999-10,11805.947,
2000-01,12273.958,
2000-04,13846.110,
2000-07,13143.944,
2000-10,15131.308,
2001-01,14428.738,
2001-04,13982.074,
2001-07,12021.715,
2001-10,11746.972,
2002-01,11435.883,
2002-04,12415.749,
2002-07,10806.479,
2002-10,11184.163,
2003-01,11610.586,
2003-04,11216.332,
2003-07,10560.883,
2003-10,10455.412,
2004-01,10192.455,
2004-04,12280.583,
2004-07,11599.278,
2004-10,12067.347,
2005-01,10092.705,
2005-04,12422.494,
2005-07,11897.767,
2005-10,13376.079,
2006-01,13398.968,
2006-04,14671.870,
2006-07,14796.570,
2006-10,15690.421,
2007-01,16127.746,
2007-04,15758.260,
2007-07,15511.007,
2007-10,15372.678,
2008-01,15311.299,
2008-04,16150.859,
2008-07,16550.255,
2008-10,16176.284,
2009-01,14782.058,
2009-04,12683.821,
2009-07,12367.523,
2009-10,13153.038,
2010-01,13897.170,
2010-04,15714.463,
2010-07,16906.534,
2010-10,17121.370,
2011-01,17570.778,
2011-04,18117.429,
2011-07,17584.900,
2011-10,18108.523,
2012-01,17520.506,
2012-04,17985.540,
2012-07,18138.829,
2012-10,17438.485,
2013-01,16464.480,
2013-04,16827.083,
2013-07,16400.329,
2013-10,16168.813,
2014-01,15827.559,Provisional value
2014-04,16734.463,Provisional value
2014-07,15823.018,Provisional value
