"",BBSF2.M.1.T.00000.SON01.I.F.SVB.Z5.00000.F33200.Z01.M1,BBSF2.M.1.T.00000.SON01.I.F.SVB.Z5.00000.F33200.Z01.M1_FLAGS
"",Funds total / Other funds / Long-term debt securities,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:39:34,
2009-09,1226,
2009-10,1392,
2009-11,3053,
2009-12,3322,
2010-01,3372,
2010-02,3403,
2010-03,3562,
2010-04,3644,
2010-05,3700,
2010-06,3590,
2010-07,3969,
2010-08,4111,
2010-09,3797,
2010-10,4015,
2010-11,3975,
2010-12,3792,
2011-01,3738,
2011-02,3798,
2011-03,3725,
2011-04,3830,
2011-05,3814,
2011-06,3900,
2011-07,4072,
2011-08,4823,
2011-09,4890,
2011-10,5931,
2011-11,7893,
2011-12,8227,
2012-01,8296,
2012-02,8277,
2012-03,7962,
2012-04,7688,
2012-05,7527,
2012-06,7328,
2012-07,7449,
2012-08,7626,
2012-09,7502,
2012-10,7437,
2012-11,7627,
2012-12,7637,
2013-01,7869,
2013-02,8000,
2013-03,8129,
2013-04,8699,
2013-05,9037,
2013-06,8979,
2013-07,9223,
2013-08,9124,
2013-09,9371,
2013-10,9208,
2013-11,9245,
2013-12,9494,
2014-01,9800,
2014-02,10195,
2014-03,10320,
2014-04,10373,
2014-05,10663,
2014-06,10747,
2014-07,10897,
2014-08,14660,
2014-09,14641,
2014-10,14933,
2014-11,15356,
