"",BBSF2.M.1.S.I0122.GEM01.I.F.NAV.DE.00000.000000.Z01.00,BBSF2.M.1.S.I0122.GEM01.I.F.NAV.DE.00000.000000.Z01.00_FLAGS
"",Special investors funds / Mixed securities funds / Net asset value / Domestic credit institutions / Distribution and cumulative funds,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:50:28,
1993-01,.,No value available
1993-02,.,No value available
1993-03,.,No value available
1993-04,6210,
1993-05,6444,
1993-06,6602,
1993-07,6824,
1993-08,7185,
1993-09,7353,
1993-10,7900,
1993-11,8257,
1993-12,8562,
1994-01,8820,
1994-02,9120,
1994-03,9318,
1994-04,9607,
1994-05,9778,
1994-06,9750,
1994-07,10193,
1994-08,10415,
1994-09,10212,
1994-10,10330,
1994-11,10446,
1994-12,10616,
1995-01,11475,
1995-02,11792,
1995-03,11882,
1995-04,12333,
1995-05,12818,
1995-06,12871,
1995-07,13231,
1995-08,13633,
1995-09,13767,
1995-10,13952,
1995-11,14238,
1995-12,14484,
1996-01,15245,
1996-02,15493,
1996-03,16150,
1996-04,16990,
1996-05,17210,
1996-06,17738,
1996-07,17839,
1996-08,18250,
1996-09,18872,
1996-10,19199,
1996-11,19758,
1996-12,20044,
1997-01,20818,
1997-02,21873,
1997-03,22531,
1997-04,23162,
1997-05,23605,
1997-06,27112,
1997-07,29222,
1997-08,29075,
1997-09,30113,
1997-10,29986,
1997-11,30186,
1997-12,32015,
1998-01,35452,
1998-02,36886,
1998-03,39122,
1998-04,39631,
1998-05,41164,
1998-06,42529,
1998-07,43948,
1998-08,43835,
1998-09,44568,
1998-10,45529,
1998-11,47566,
1998-12,48912,
1999-01,50373,
1999-02,50001,
1999-03,50888,
1999-04,53390,
1999-05,54974,
1999-06,57335,
1999-07,57228,
1999-08,58467,
1999-09,57276,
1999-10,58472,
1999-11,60178,
1999-12,61918,
2000-01,63313,
2000-02,65300,
2000-03,68977,
2000-04,70007,
2000-05,69766,
2000-06,70457,
2000-07,71767,
2000-08,72972,
2000-09,73030,
2000-10,73800,
2000-11,74250,
2000-12,74206,
2001-01,75280,
2001-02,74223,
2001-03,73252,
2001-04,74188,
2001-05,74186,
2001-06,73756,
2001-07,72606,
2001-08,72123,
2001-09,70446,
2001-10,72535,
2001-11,72564,
2001-12,72150,
2002-01,71656,
2002-02,71741,
2002-03,68098,
2002-04,67049,
2002-05,65731,
2002-06,65165,
2002-07,64655,
2002-08,65100,
2002-09,63974,
2002-10,64887,
2002-11,68829,
2002-12,67717,
2003-01,67686,
2003-02,68590,
2003-03,68333,
2003-04,69516,
2003-05,70967,
2003-06,71668,
2003-07,72367,
2003-08,72507,
2003-09,70713,
2003-10,70612,
2003-11,70830,
2003-12,73083,
2004-01,72885,
2004-02,73094,
2004-03,73239,
2004-04,72842,
2004-05,72501,
2004-06,72735,
2004-07,72883,
2004-08,73431,
2004-09,75521,
2004-10,77158,
2004-11,78078,
2004-12,77614,
2005-01,78072,
2005-02,77413,
2005-03,75671,
2005-04,76481,
2005-05,76688,
2005-06,78342,
2005-07,78602,
2005-08,78880,
2005-09,79008,
2005-10,77644,
2005-11,75803,
2005-12,73046,
2006-01,71780,
2006-02,71996,
2006-03,71934,
2006-04,71814,
2006-05,71443,
2006-06,70329,
2006-07,71210,
2006-08,71478,
2006-09,72370,
2006-10,72121,
2006-11,73043,
2006-12,72824,
2007-01,73129,
2007-02,74122,
2007-03,74607,
2007-04,79672,
2007-05,80115,
2007-06,79322,
2007-07,79965,
2007-08,79851,
2007-09,80681,
2007-10,80490,
2007-11,78700,
2007-12,83101,
2008-01,81732,
2008-02,81774,
2008-03,80553,
2008-04,81585,
2008-05,81060,
2008-06,78898,
2008-07,68688,
2008-08,69138,
2008-09,68013,
2008-10,66125,
2008-11,65865,
2008-12,63791,
2009-01,63524,
2009-02,62570,
2009-03,62698,
2009-04,61748,
2009-05,59622,
2009-06,59632,
2009-07,60505,
2009-08,61653,
2009-09,62681,
2009-10,63053,
2009-11,63580,
2009-12,63488,
2010-01,63689,
2010-02,64033,
2010-03,64073,
2010-04,61485,
2010-05,58665,
2010-06,58482,
2010-07,58117,
2010-08,59427,
2010-09,59889,
2010-10,62739,
2010-11,62431,
2010-12,61755,
2011-01,61843,
2011-02,62185,
2011-03,61774,
2011-04,62268,
2011-05,62400,
2011-06,62192,
2011-07,62428,
2011-08,61906,
2011-09,63593,
2011-10,70162,
2011-11,68984,
2011-12,68751,
2012-01,69175,
2012-02,67951,
2012-03,68324,
2012-04,68602,
2012-05,68805,
2012-06,68990,
2012-07,70225,
2012-08,70881,
2012-09,71400,
2012-10,71850,
2012-11,72700,
2012-12,72881,
2013-01,72509,
2013-02,75110,
2013-03,76206,
2013-04,77310,
2013-05,77406,
2013-06,76716,
2013-07,77306,
2013-08,77068,
2013-09,77640,
2013-10,78063,
2013-11,78536,
2013-12,78472,
2014-01,78684,
2014-02,79632,
2014-03,79699,
2014-04,80324,
2014-05,82001,
2014-06,81697,
2014-07,82447,
2014-08,81147,
2014-09,81436,
2014-10,82127,
2014-11,83310,
