"",BBK01.OEAC26K,BBK01.OEAC26K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:52:23,
2002-01,1.217,
2002-04,1.104,
2002-07,1.134,
2002-10,1.419,
2003-01,1.335,
2003-04,1.477,
2003-07,1.234,
2003-10,1.240,
2004-01,1.376,
2004-04,0.995,
2004-07,0.937,
2004-10,0.746,
2005-01,0.777,
2005-04,0.723,
2005-07,0.702,
2005-10,0.601,
2006-01,1.132,
2006-04,1.341,
2006-07,1.601,
2006-10,1.717,
2007-01,1.443,
2007-04,0.520,
2007-07,0.526,
2007-10,0.513,
2008-01,0.535,
2008-04,0.566,
2008-07,0.568,
2008-10,0.493,
2009-01,0.531,
2009-04,0.597,
2009-07,0.622,
2009-10,0.559,
2010-01,0.465,
2010-04,0.357,
2010-07,0.325,
2010-10,0.399,
2011-01,0.404,
2011-04,0.416,
2011-07,0.474,
2011-10,0.469,
2012-01,0.434,
2012-04,0.436,
2012-07,0.441,
2012-10,0.488,
2013-01,0.515,
2013-04,0.430,
2013-07,0.504,
2013-10,0.625,
2014-01,0.674,
2014-04,0.703,
2014-07,0.596,
