"",BBFN1.M.DE.N.1.A.RS.S1P.H1.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.RS.S1P.H1.T.N000.Z01.BGA.X001.D_FLAGS
"",,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:18:27,
1994-07,0.289,
1994-08,0.289,
1994-09,0.282,
1994-10,0.241,
1994-11,0.239,
1994-12,0.244,
1995-01,0.230,
1995-02,0.235,
1995-03,0.241,
1995-04,0.238,
1995-05,0.243,
1995-06,0.243,
1995-07,0.243,
1995-08,0.243,
1995-09,0.241,
1995-10,0.238,
1995-11,0.245,
1995-12,0.220,
1996-01,0.223,
1996-02,0.252,
1996-03,0.259,
1996-04,0.263,
1996-05,0.266,
1996-06,0.269,
1996-07,0.273,
1996-08,0.274,
1996-09,0.278,
1996-10,0.281,
1996-11,0.287,
1996-12,0.286,
1997-01,0.292,
1997-02,0.292,
1997-03,0.298,
1997-04,0.295,
1997-05,0.310,
1997-06,0.316,
1997-07,0.312,
1997-08,0.313,
1997-09,0.297,
1997-10,0.296,
1997-11,0.301,
1997-12,0.300,
1998-01,0.306,
1998-02,0.315,
1998-03,0.304,
1998-04,0.303,
1998-05,0.310,
1998-06,0.316,
1998-07,0.319,
1998-08,0.325,
1998-09,0.323,
1998-10,0.322,
1998-11,0.285,
1998-12,0.284,
1999-01,0.283,
1999-02,0.285,
1999-03,0.287,
1999-04,0.274,
1999-05,0.280,
1999-06,0.256,
1999-07,0.254,
1999-08,0.259,
1999-09,0.250,
1999-10,0.251,
1999-11,0.250,
1999-12,0.246,
2000-01,0.246,
2000-02,0.241,
2000-03,0.253,
2000-04,0.253,
2000-05,0.229,
2000-06,0.232,
2000-07,0.236,
2000-08,0.236,
2000-09,0.239,
2000-10,0.230,
2000-11,0.236,
2000-12,0.210,
2001-01,0.199,
2001-02,0.199,
2001-03,0.204,
2001-04,0.212,
2001-05,0.207,
2001-06,0.162,
2001-07,0.166,
2001-08,0.168,
2001-09,0.166,
2001-10,0.175,
2001-11,0.173,
2001-12,0.181,
2002-01,0.177,
2002-02,0.184,
2002-03,0.175,
2002-04,0.174,
2002-05,0.179,
2002-06,0.179,
2002-07,0.188,
2002-08,0.205,
2002-09,0.209,
2002-10,0.213,
2002-11,0.225,
2002-12,0.213,
2003-01,0.212,
2003-02,0.233,
2003-03,0.208,
2003-04,0.217,
2003-05,0.222,
2003-06,0.235,
2003-07,0.247,
2003-08,0.246,
2003-09,0.245,
2003-10,0.238,
2003-11,0.262,
2003-12,0.242,
2004-01,0.239,
2004-02,0.248,
2004-03,0.266,
2004-04,0.278,
2004-05,0.291,
2004-06,0.301,
2004-07,0.286,
2004-08,0.292,
2004-09,0.277,
2004-10,0.283,
2004-11,0.280,
2004-12,0.281,
2005-01,0.274,
2005-02,0.272,
2005-03,0.356,
2005-04,0.305,
2005-05,0.288,
2005-06,0.287,
2005-07,0.292,
2005-08,0.290,
2005-09,0.296,
2005-10,0.287,
2005-11,0.286,
2005-12,0.282,
2006-01,0.276,
2006-02,0.268,
2006-03,0.266,
2006-04,0.266,
2006-05,0.275,
2006-06,0.273,
2006-07,0.243,
2006-08,0.230,
2006-09,0.225,
2006-10,0.223,
2006-11,0.223,
2006-12,0.215,
2007-01,0.199,
2007-02,0.213,
2007-03,0.222,
2007-04,0.226,
2007-05,0.236,
2007-06,0.238,
2007-07,0.231,
2007-08,0.241,
2007-09,0.246,
2007-10,0.245,
2007-11,0.248,
2007-12,0.231,
2008-01,0.227,
2008-02,0.236,
2008-03,0.244,
2008-04,0.269,
2008-05,0.272,
2008-06,0.279,
2008-07,0.280,
2008-08,0.276,
2008-09,0.275,
2008-10,0.280,
2008-11,0.287,
2008-12,0.264,
2009-01,0.255,
2009-02,0.248,
2009-03,0.260,
2009-04,0.263,
2009-05,0.270,
2009-06,0.259,
2009-07,0.247,
2009-08,0.259,
2009-09,0.246,
2009-10,0.242,
2009-11,0.260,
2009-12,0.231,
2010-01,0.227,
2010-02,0.227,
2010-03,0.233,
2010-04,0.236,
2010-05,0.240,
2010-06,0.247,
2010-07,0.248,
2010-08,0.250,
2010-09,0.242,
2010-10,0.265,
2010-11,0.242,
2010-12,0.223,
2011-01,0.220,
2011-02,0.227,
2011-03,0.245,
2011-04,0.233,
2011-05,0.240,
2011-06,0.254,
2011-07,0.260,
2011-08,0.254,
2011-09,0.249,
2011-10,0.241,
2011-11,0.247,
2011-12,0.230,
2012-01,0.223,
2012-02,0.222,
2012-03,0.242,
2012-04,0.252,
2012-05,0.246,
2012-06,0.264,
2012-07,0.255,
2012-08,0.257,
2012-09,0.271,
2012-10,0.267,
2012-11,0.250,
2012-12,0.230,
2013-01,0.240,
2013-02,0.250,
2013-03,0.265,
2013-04,0.263,
2013-05,0.265,
2013-06,0.271,
2013-07,0.270,
2013-08,0.276,
2013-09,0.276,
2013-10,0.264,
2013-11,0.259,
2013-12,0.238,
2014-01,0.228,
2014-02,0.237,
2014-03,0.247,
2014-04,0.261,
2014-05,0.268,
2014-06,0.286,
2014-07,0.276,
2014-08,0.291,
2014-09,0.282,
2014-10,0.267,
2014-11,0.256,
2014-12,0.229,
