"",BBNZ1.Q.DE.Y.G.0087.A,BBNZ1.Q.DE.Y.G.0087.A_FLAGS
"",Germany / National accounts / Origin of GDP / Information and communication / At current prices / Calendar and seasonally adjusted,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-25 17:37:46,
1991-01,12.757,
1991-04,12.703,
1991-07,12.429,
1991-10,12.993,
1992-01,13.894,
1992-04,14.128,
1992-07,14.268,
1992-10,14.266,
1993-01,14.893,
1993-04,15.186,
1993-07,15.307,
1993-10,15.345,
1994-01,15.031,
1994-04,15.211,
1994-07,15.537,
1994-10,15.675,
1995-01,15.718,
1995-04,16.152,
1995-07,16.545,
1995-10,17.060,
1996-01,16.198,
1996-04,16.561,
1996-07,16.804,
1996-10,17.277,
1997-01,17.826,
1997-04,18.096,
1997-07,18.246,
1997-10,18.425,
1998-01,19.928,
1998-04,20.224,
1998-07,20.515,
1998-10,21.022,
1999-01,19.943,
1999-04,20.261,
1999-07,20.755,
1999-10,21.250,
2000-01,20.824,
2000-04,21.451,
2000-07,21.996,
2000-10,22.372,
2001-01,23.400,
2001-04,23.639,
2001-07,23.722,
2001-10,24.358,
2002-01,24.625,
2002-04,24.508,
2002-07,24.422,
2002-10,24.649,
2003-01,22.522,
2003-04,22.400,
2003-07,22.443,
2003-10,22.518,
2004-01,24.027,
2004-04,24.046,
2004-07,23.879,
2004-10,24.012,
2005-01,23.377,
2005-04,24.274,
2005-07,24.062,
2005-10,23.670,
2006-01,24.869,
2006-04,25.230,
2006-07,25.555,
2006-10,25.611,
2007-01,26.922,
2007-04,26.492,
2007-07,26.886,
2007-10,26.716,
2008-01,27.046,
2008-04,26.935,
2008-07,26.840,
2008-10,27.536,
2009-01,25.597,
2009-04,25.991,
2009-07,26.062,
2009-10,26.399,
2010-01,25.656,
2010-04,25.384,
2010-07,25.680,
2010-10,25.980,
2011-01,27.589,
2011-04,28.009,
2011-07,28.092,
2011-10,28.208,
2012-01,28.984,
2012-04,29.236,
2012-07,29.498,
2012-10,29.537,
2013-01,29.077,
2013-04,29.249,
2013-07,29.616,
2013-10,30.112,
2014-01,30.271,
2014-04,30.500,
2014-07,30.746,
2014-10,30.825,
