"",BBK01.OEAA21T,BBK01.OEAA21T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:20:25,
2002-01,5.398,
2002-04,5.418,
2002-07,5.430,
2002-10,5.424,
2003-01,6.017,
2003-04,5.935,
2003-07,6.038,
2003-10,6.146,
2004-01,6.122,
2004-04,6.124,
2004-07,6.077,
2004-10,6.186,
2005-01,6.138,
2005-04,6.110,
2005-07,6.079,
2005-10,6.119,
2006-01,6.081,
2006-04,6.197,
2006-07,6.261,
2006-10,6.362,
2007-01,6.343,
2007-04,6.118,
2007-07,6.245,
2007-10,6.248,
2008-01,6.435,
2008-04,6.581,
2008-07,6.713,
2008-10,7.028,
2009-01,7.097,
2009-04,7.376,
2009-07,7.491,
2009-10,7.923,
2010-01,7.936,
2010-04,8.001,
2010-07,8.333,
2010-10,8.435,
2011-01,8.666,
2011-04,8.876,
2011-07,9.136,
2011-10,9.409,
2012-01,9.767,
2012-04,9.843,
2012-07,10.084,
2012-10,10.217,
2013-01,10.429,
2013-04,10.663,
2013-07,10.676,
2013-10,10.743,
2014-01,10.777,
2014-04,10.954,
2014-07,11.068,
