"",BBK01.OEAH17U,BBK01.OEAH17U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:31:17,
2002-01,3.125,
2002-04,2.976,
2002-07,2.920,
2002-10,2.846,
2003-01,2.822,
2003-04,2.685,
2003-07,2.682,
2003-10,2.628,
2004-01,2.660,
2004-04,2.412,
2004-07,2.439,
2004-10,2.421,
2005-01,2.369,
2005-04,2.384,
2005-07,2.453,
2005-10,2.472,
2006-01,2.638,
2006-04,2.651,
2006-07,2.804,
2006-10,2.922,
2007-01,3.261,
2007-04,3.355,
2007-07,3.651,
2007-10,3.821,
2008-01,4.099,
2008-04,4.305,
2008-07,4.797,
2008-10,4.385,
2009-01,3.766,
2009-04,3.466,
2009-07,2.918,
2009-10,2.659,
2010-01,2.496,
2010-04,2.494,
2010-07,2.416,
2010-10,2.459,
2011-01,2.657,
2011-04,2.872,
2011-07,2.959,
2011-10,3.365,
2012-01,3.716,
2012-04,3.664,
2012-07,3.525,
2012-10,3.366,
2013-01,3.216,
2013-04,3.292,
2013-07,3.339,
2013-10,3.203,
2014-01,3.447,
2014-04,3.489,
2014-07,3.156,
