"",BBK01.OEAD34O,BBK01.OEAD34O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:59:52,
2002-01,0.363,
2002-04,0.366,
2002-07,0.353,
2002-10,0.350,
2003-01,0.341,
2003-04,0.332,
2003-07,0.306,
2003-10,0.313,
2004-01,0.308,
2004-04,0.301,
2004-07,0.288,
2004-10,0.267,
2005-01,0.266,
2005-04,0.255,
2005-07,0.244,
2005-10,0.235,
2006-01,0.233,
2006-04,0.229,
2006-07,0.196,
2006-10,0.201,
2007-01,0.203,
2007-04,0.221,
2007-07,0.205,
2007-10,0.198,
2008-01,0.206,
2008-04,0.193,
2008-07,0.186,
2008-10,0.189,
2009-01,0.193,
2009-04,0.243,
2009-07,0.266,
2009-10,0.262,
2010-01,0.322,
2010-04,0.336,
2010-07,0.287,
2010-10,0.273,
2011-01,0.265,
2011-04,0.258,
2011-07,0.196,
2011-10,0.193,
2012-01,0.186,
2012-04,0.187,
2012-07,0.184,
2012-10,0.183,
2013-01,0.177,
2013-04,0.174,
2013-07,0.169,
2013-10,0.182,
2014-01,0.180,
2014-04,0.186,
2014-07,0.223,
