"",BBK01.CELI20,BBK01.CELI20_FLAGS
"",Listed Shares                                             debtor: Domestic financial sectors     creditor: Total,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:47:59,
1999-01,1.9,
1999-04,5.7,
1999-07,0.8,
1999-10,1.3,
2000-01,0.1,
2000-04,0.8,
2000-07,0.9,
2000-10,8.6,
2001-01,3.3,
2001-04,0.3,
2001-07,6.5,
2001-10,0.8,
2002-01,0.6,
2002-04,0.6,
2002-07,0.1,
2002-10,-0.4,
2003-01,0.9,
2003-04,2.3,
2003-07,-1.1,
2003-10,4.9,
2004-01,0.0,
2004-04,3.0,
2004-07,-2.1,
2004-10,0.1,
2005-01,0.0,
2005-04,-0.3,
2005-07,3.5,
2005-10,1.7,
2006-01,-0.1,
2006-04,0.0,
2006-07,0.0,
2006-10,0.1,
2007-01,0.2,
2007-04,0.0,
2007-07,0.2,
2007-10,0.2,
2008-01,0.0,
2008-04,0.2,
2008-07,3.4,
2008-10,2.3,
2009-01,2.9,
2009-04,4.7,
2009-07,0.1,
2009-10,0.2,
2010-01,0.0,
2010-04,0.1,
2010-07,0.2,
2010-10,10.3,
2011-01,0.7,
2011-04,9.1,
2011-07,0.0,
2011-10,0.1,
2012-01,0.4,
2012-04,0.3,
2012-07,0.1,
2012-10,0.0,
2013-01,0.0,
2013-04,0.2,
2013-07,0.0,
2013-10,0.0,
2014-01,0.0,
2014-04,8.5,
2014-07,0.0,
