"",BBK01.OEAH23P,BBK01.OEAH23P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:28:33,
2002-01,0.112,
2002-04,0.114,
2002-07,0.112,
2002-10,0.103,
2003-01,0.089,
2003-04,0.082,
2003-07,0.093,
2003-10,0.111,
2004-01,0.121,
2004-04,0.114,
2004-07,0.111,
2004-10,0.114,
2005-01,0.122,
2005-04,0.122,
2005-07,0.102,
2005-10,0.086,
2006-01,0.087,
2006-04,0.099,
2006-07,0.117,
2006-10,0.171,
2007-01,0.211,
2007-04,0.233,
2007-07,0.265,
2007-10,0.344,
2008-01,0.378,
2008-04,0.422,
2008-07,0.473,
2008-10,0.502,
2009-01,0.476,
2009-04,0.412,
2009-07,0.329,
2009-10,0.307,
2010-01,0.219,
2010-04,0.155,
2010-07,0.130,
2010-10,0.109,
2011-01,0.116,
2011-04,0.116,
2011-07,0.110,
2011-10,0.105,
2012-01,0.093,
2012-04,0.096,
2012-07,0.092,
2012-10,0.096,
2013-01,0.094,
2013-04,0.084,
2013-07,0.073,
2013-10,0.075,
2014-01,0.076,
2014-04,0.078,
2014-07,0.076,
