"",BBK01.CEL0L0,BBK01.CEL0L0_FLAGS
"",Verbindlichkeiten Total debtor: Pension funds               creditor: Total,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:50:54,
1999-01,2.3,
1999-04,0.8,
1999-07,1.1,
1999-10,-2.3,
2000-01,2.1,
2000-04,1.1,
2000-07,0.2,
2000-10,-3.2,
2001-01,1.8,
2001-04,2.0,
2001-07,1.8,
2001-10,-0.5,
2002-01,3.1,
2002-04,-0.4,
2002-07,0.4,
2002-10,-0.4,
2003-01,1.6,
2003-04,1.0,
2003-07,0.5,
2003-10,4.8,
2004-01,1.8,
2004-04,1.3,
2004-07,1.3,
2004-10,1.3,
2005-01,3.2,
2005-04,1.1,
2005-07,2.5,
2005-10,1.9,
2006-01,1.2,
2006-04,3.9,
2006-07,1.8,
2006-10,6.9,
2007-01,0.2,
2007-04,3.6,
2007-07,2.1,
2007-10,3.8,
2008-01,2.0,
2008-04,0.9,
2008-07,2.3,
2008-10,0.5,
2009-01,3.4,
2009-04,-0.1,
2009-07,-0.8,
2009-10,0.2,
2010-01,5.2,
2010-04,1.8,
2010-07,2.6,
2010-10,3.8,
2011-01,4.4,
2011-04,4.7,
2011-07,1.5,
2011-10,4.0,
2012-01,6.6,
2012-04,1.4,
2012-07,0.4,
2012-10,9.2,
2013-01,11.2,
2013-04,0.3,
2013-07,2.2,
2013-10,0.0,
2014-01,2.3,
2014-04,2.9,
2014-07,0.1,
