"",BBK01.CEHH01,BBK01.CEHH01_FLAGS
"",Shares debtor: All sectors                   creditor: Non-financial corporations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:22:22,
1991-01,6.7,
1991-04,4.2,
1991-07,4.4,
1991-10,-1.6,
1992-01,-1.6,
1992-04,8.9,
1992-07,-0.8,
1992-10,1.1,
1993-01,-1.4,
1993-04,9.9,
1993-07,-6.9,
1993-10,-0.4,
1994-01,-0.4,
1994-04,3.8,
1994-07,2.5,
1994-10,-1.7,
1995-01,4.6,
1995-04,4.8,
1995-07,3.4,
1995-10,2.5,
1996-01,0.4,
1996-04,4.5,
1996-07,7.4,
1996-10,-0.2,
1997-01,-0.9,
1997-04,13.1,
1997-07,-0.2,
1997-10,1.2,
1998-01,0.2,
1998-04,-2.4,
1998-07,10.4,
1998-10,39.3,
1999-01,12.0,
1999-04,14.3,
1999-07,34.6,
1999-10,18.4,
2000-01,-37.3,
2000-04,35.5,
2000-07,38.7,
2000-10,104.3,
2001-01,-29.2,
2001-04,38.0,
2001-07,30.6,
2001-10,-4.5,
2002-01,12.9,
2002-04,34.9,
2002-07,14.0,
2002-10,30.1,
2003-01,7.7,
2003-04,1.1,
2003-07,7.7,
2003-10,-13.9,
2004-01,7.8,
2004-04,40.7,
2004-07,7.4,
2004-10,-15.6,
2005-01,8.8,
2005-04,5.5,
2005-07,-3.5,
2005-10,0.2,
2006-01,34.1,
2006-04,-5.1,
2006-07,4.5,
2006-10,17.2,
2007-01,-15.1,
2007-04,13.2,
2007-07,25.6,
2007-10,16.8,
2008-01,-22.3,
2008-04,-9.6,
2008-07,7.2,
2008-10,-2.4,
2009-01,13.9,
2009-04,6.5,
2009-07,-1.5,
2009-10,3.6,
2010-01,0.1,
2010-04,4.7,
2010-07,4.4,
2010-10,16.5,
2011-01,-0.6,
2011-04,13.5,
2011-07,-0.9,
2011-10,7.6,
2012-01,6.4,
2012-04,-6.5,
2012-07,5.5,
2012-10,15.3,
2013-01,10.6,
2013-04,0.8,
2013-07,8.5,
2013-10,-4.7,
2014-01,7.1,
