"",BBFB1.Q.N.DE.PL.S1.S1.T.B.CA._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.PL.S1.S1.T.B.CA._Z._Z._Z._T._X.N_FLAGS
"",Current account / Balance of the Current account / Poland,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:30:33,
1991-01,372.878,
1991-04,236.481,
1991-07,33.027,
1991-10,90.819,
1992-01,-98.108,
1992-04,-140.422,
1992-07,-189.508,
1992-10,87.783,
1993-01,156.661,
1993-04,35.757,
1993-07,-235.105,
1993-10,-124.608,
1994-01,-53.803,
1994-04,-53.997,
1994-07,-245.072,
1994-10,-99.350,
1995-01,-117.947,
1995-04,-184.659,
1995-07,4.002,
1995-10,268.429,
1996-01,191.147,
1996-04,125.980,
1996-07,131.442,
1996-10,408.355,
1997-01,480.704,
1997-04,460.921,
1997-07,336.049,
1997-10,492.336,
1998-01,895.225,
1998-04,636.302,
1998-07,453.439,
1998-10,644.953,
1999-01,473.512,
1999-04,403.766,
1999-07,291.459,
1999-10,556.555,
2000-01,416.197,
2000-04,426.124,
2000-07,261.069,
2000-10,480.316,
2001-01,454.425,
2001-04,6.053,
2001-07,-318.768,
2001-10,109.161,
2002-01,332.290,
2002-04,-46.078,
2002-07,-112.277,
2002-10,104.892,
2003-01,-27.396,
2003-04,-411.340,
2003-07,-648.502,
2003-10,-676.077,
2004-01,410.260,
2004-04,102.044,
2004-07,-485.080,
2004-10,-396.366,
2005-01,-13.941,
2005-04,69.197,
2005-07,0.068,
2005-10,781.929,
2006-01,669.051,
2006-04,887.498,
2006-07,27.288,
2006-10,990.380,
2007-01,1989.839,
2007-04,1999.242,
2007-07,1704.854,
2007-10,2041.803,
2008-01,2602.275,
2008-04,2133.577,
2008-07,1948.196,
2008-10,2167.472,
2009-01,1719.176,
2009-04,812.153,
2009-07,859.296,
2009-10,1255.607,
2010-01,1621.483,
2010-04,1118.308,
2010-07,911.362,
2010-10,1925.390,
2011-01,1963.190,
2011-04,1858.733,
2011-07,1399.747,
2011-10,1207.882,
2012-01,1802.540,
2012-04,1276.384,
2012-07,1102.562,
2012-10,723.522,
2013-01,1096.283,
2013-04,378.543,
2013-07,94.249,
2013-10,689.204,
2014-01,1185.261,Provisional value
2014-04,756.965,Provisional value
2014-07,770.957,Provisional value
