"",BBK01.OECJ03H,BBK01.OECJ03H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:01:23,
2002-01,34.202,
2002-04,34.002,
2002-07,33.693,
2002-10,33.469,
2003-01,33.525,
2003-04,33.130,
2003-07,33.513,
2003-10,33.662,
2004-01,34.393,
2004-04,33.542,
2004-07,32.442,
2004-10,32.260,
2005-01,33.546,
2005-04,32.157,
2005-07,32.164,
2005-10,31.550,
2006-01,31.191,
2006-04,31.093,
2006-07,32.861,
2006-10,31.824,
2007-01,32.863,
2007-04,32.959,
2007-07,34.538,
2007-10,36.555,
2008-01,36.437,
2008-04,36.310,
2008-07,37.443,
2008-10,48.760,
2009-01,46.103,
2009-04,60.139,
2009-07,48.383,
2009-10,47.620,
2010-01,45.983,
2010-04,44.392,
2010-07,43.783,
2010-10,41.397,
2011-01,42.346,
2011-04,42.287,
2011-07,49.722,
2011-10,52.645,
2012-01,48.341,
2012-04,44.114,
2012-07,50.966,
2012-10,40.471,
2013-01,43.770,
2013-04,50.160,
2013-07,28.789,
2013-10,28.214,
2014-01,27.670,
2014-04,25.922,
2014-07,25.640,
