"",BBEX3.M.BOB.USD.CA.AB.A01,BBEX3.M.BOB.USD.CA.AB.A01_FLAGS
"",Exchange rates for the US dollar in the Plurinational State of Bolivia / USD 1 = BOB ... (selling),
unit,BOB (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:16:18,
1990-01,3.010,
1990-02,3.050,
1990-03,3.080,
1990-04,3.110,
1990-05,3.140,
1990-06,3.150,
1990-07,3.180,
1990-08,3.220,
1990-09,3.260,
1990-10,3.310,
1990-11,3.350,
1990-12,3.400,
1991-01,3.460,
1991-02,3.480,
1991-03,3.510,
1991-04,3.530,
1991-05,3.560,
1991-06,3.590,
1991-07,3.610,
1991-08,3.630,
1991-09,3.660,
1991-10,3.690,
1991-11,3.710,
1991-12,3.750,
1992-01,3.760,
1992-02,3.790,
1992-03,3.810,
1992-04,3.830,
1992-05,3.860,
1992-06,3.880,
1992-07,3.920,
1992-08,3.970,
1992-09,4.010,
1992-10,4.040,
1992-11,4.060,
1992-12,4.100,
1993-01,4.120,
1993-02,4.150,
1993-03,4.180,
1993-04,4.210,
1993-05,4.240,
1993-06,4.270,
1993-07,4.300,
1993-08,4.320,
1993-09,4.350,
1993-10,4.390,
1993-11,4.430,
1993-12,4.470,
1994-01,4.500,
1994-02,4.530,
1994-03,4.580,
1994-04,4.600,
1994-05,4.630,
1994-06,4.670,
1994-07,4.650,
1994-08,4.680,
1994-09,4.670,
1994-10,4.680,
1994-11,4.700,
1994-12,4.700,
1995-01,4.730,
1995-02,4.720,
1995-03,4.760,
1995-04,4.760,
1995-05,4.770,
1995-06,4.800,
1995-07,4.810,
1995-08,4.840,
1995-09,4.860,
1995-10,4.860,
1995-11,4.900,
1995-12,4.940,
1996-01,4.980,
1996-02,4.990,
1996-03,5.010,
1996-04,5.050,
1996-05,5.070,
1996-06,5.070,
1996-07,5.110,
1996-08,5.130,
1996-09,5.150,
1996-10,5.190,
1996-11,5.170,
1996-12,5.190,
1997-01,5.210,
1997-02,5.220,
1997-03,5.230,
1997-04,5.230,
1997-05,5.220,
1997-06,5.230,
1997-07,5.250,
1997-08,5.270,
1997-09,5.290,
1997-10,5.320,
1997-11,5.340,
1997-12,5.370,
1998-01,5.390,
1998-02,5.410,
1998-03,5.450,
1998-04,5.480,
1998-05,5.500,
1998-06,5.520,
1998-07,5.540,
1998-08,5.550,
1998-09,5.580,
1998-10,5.600,
1998-11,5.620,
1998-12,5.650,
1999-01,5.660,
1999-02,5.700,
1999-03,5.730,
1999-04,5.760,
1999-05,5.800,
1999-06,5.820,
1999-07,5.860,
1999-08,5.900,
1999-09,5.930,
1999-10,5.970,
1999-11,5.990,
1999-12,6.010,
2000-01,6.040,
2000-02,6.070,
2000-03,6.110,
2000-04,6.140,
2000-05,6.170,
2000-06,6.200,
2000-07,6.230,
2000-08,6.260,
2000-09,6.300,
2000-10,6.330,
2000-11,6.370,
2000-12,6.410,
2001-01,6.440,
2001-02,6.460,
2001-03,6.500,
2001-04,6.530,
2001-05,6.580,
2001-06,6.610,
2001-07,6.670,
2001-08,6.710,
2001-09,6.750,
2001-10,6.810,
2001-11,6.840,
2001-12,6.840,
2002-01,6.920,
2002-02,6.990,
2002-03,7.045,
2002-04,7.075,
2002-05,7.100,
2002-06,7.185,
2002-07,7.255,
2002-08,7.315,
2002-09,7.365,
2002-10,7.415,
2002-11,7.460,
2002-12,7.515,
2003-01,7.565,
2003-02,7.585,
2003-03,7.600,
2003-04,7.610,
2003-05,7.630,
2003-06,7.660,
2003-07,7.690,
2003-08,7.730,
