"",BBK01.OEAD11O,BBK01.OEAD11O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:59:43,
2002-01,1.998,
2002-04,1.989,
2002-07,1.948,
2002-10,1.859,
2003-01,2.057,
2003-04,1.914,
2003-07,1.725,
2003-10,1.713,
2004-01,1.718,
2004-04,1.655,
2004-07,1.622,
2004-10,1.638,
2005-01,1.705,
2005-04,1.637,
2005-07,1.556,
2005-10,1.571,
2006-01,1.669,
2006-04,1.835,
2006-07,1.884,
2006-10,1.712,
2007-01,1.811,
2007-04,1.890,
2007-07,1.860,
2007-10,2.153,
2008-01,2.121,
2008-04,2.121,
2008-07,1.948,
2008-10,1.997,
2009-01,1.825,
2009-04,1.672,
2009-07,1.551,
2009-10,1.365,
2010-01,1.207,
2010-04,2.044,
2010-07,2.017,
2010-10,1.757,
2011-01,1.775,
2011-04,2.026,
2011-07,1.890,
2011-10,1.914,
2012-01,1.929,
2012-04,1.994,
2012-07,1.892,
2012-10,1.982,
2013-01,1.968,
2013-04,1.895,
2013-07,1.825,
2013-10,1.970,
2014-01,1.902,
2014-04,1.862,
2014-07,1.940,
