"",BBK01.OEXI10H,BBK01.OEXI10H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:57:26,
2002-01,0.131,
2002-04,0.145,
2002-07,0.146,
2002-10,0.140,
2003-01,0.139,
2003-04,0.145,
2003-07,0.186,
2003-10,0.189,
2004-01,0.192,
2004-04,0.192,
2004-07,0.201,
2004-10,0.158,
2005-01,0.165,
2005-04,0.161,
2005-07,0.161,
2005-10,0.708,
2006-01,0.699,
2006-04,0.660,
2006-07,0.618,
2006-10,0.507,
2007-01,0.472,
2007-04,2.071,
2007-07,2.059,
2007-10,1.836,
2008-01,1.612,
2008-04,1.540,
2008-07,1.364,
2008-10,1.335,
2009-01,1.271,
2009-04,1.133,
2009-07,1.114,
2009-10,1.066,
2010-01,1.021,
2010-04,0.953,
2010-07,0.848,
2010-10,0.799,
2011-01,0.746,
2011-04,0.707,
2011-07,0.672,
2011-10,0.590,
2012-01,0.547,
2012-04,0.507,
2012-07,0.449,
2012-10,0.473,
2013-01,0.438,
2013-04,0.427,
2013-07,0.414,
2013-10,0.388,
2014-01,0.368,
2014-04,0.363,
2014-07,0.155,
