"",BBK01.OEYJ03N,BBK01.OEYJ03N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:05:44,
2002-01,35.034,
2002-04,35.188,
2002-07,36.220,
2002-10,38.075,
2003-01,39.032,
2003-04,39.777,
2003-07,40.825,
2003-10,37.810,
2004-01,36.481,
2004-04,40.287,
2004-07,41.707,
2004-10,42.939,
2005-01,43.014,
2005-04,43.506,
2005-07,46.907,
2005-10,51.736,
2006-01,51.178,
2006-04,55.149,
2006-07,59.802,
2006-10,63.821,
2007-01,66.108,
2007-04,68.639,
2007-07,70.896,
2007-10,75.475,
2008-01,74.626,
2008-04,75.839,
2008-07,72.533,
2008-10,71.549,
2009-01,74.508,
2009-04,72.043,
2009-07,73.863,
2009-10,68.952,
2010-01,76.714,
2010-04,69.882,
2010-07,72.921,
2010-10,73.769,
2011-01,70.439,
2011-04,65.404,
2011-07,67.948,
2011-10,64.568,
2012-01,65.518,
2012-04,63.016,
2012-07,60.933,
2012-10,57.713,
2013-01,55.552,
2013-04,53.768,
2013-07,45.906,
2013-10,45.304,
2014-01,43.263,
2014-04,42.443,
2014-07,41.249,
