"",BBK01.OEAP01U,BBK01.OEAP01U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:17:05,
2002-01,0.064,
2002-04,0.102,
2002-07,0.067,
2002-10,0.061,
2003-01,0.087,
2003-04,0.107,
2003-07,0.059,
2003-10,0.038,
2004-01,0.033,
2004-04,0.041,
2004-07,0.028,
2004-10,0.022,
2005-01,0.015,
2005-04,0.036,
2005-07,0.028,
2005-10,0.035,
2006-01,0.023,
2006-04,0.013,
2006-07,0.009,
2006-10,0.009,
2007-01,0.010,
2007-04,0.013,
2007-07,0.019,
2007-10,0.011,
2008-01,0.008,
2008-04,0.013,
2008-07,0.006,
2008-10,0.037,
2009-01,0.010,
2009-04,0.015,
2009-07,0.019,
2009-10,0.013,
2010-01,0.006,
2010-04,0.010,
2010-07,0.007,
2010-10,0.005,
2011-01,0.009,
2011-04,0.008,
2011-07,0.004,
2011-10,0.005,
2012-01,0.002,
2012-04,0.004,
2012-07,0.000,
2012-10,0.001,
2013-01,0.004,
2013-04,0.008,
2013-07,0.001,
2013-10,0.000,
2014-01,0.002,
2014-04,0.000,
2014-07,0.000,
