"",BBK01.OECJ10N,BBK01.OECJ10N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:02:08,
2002-01,0.600,
2002-04,0.596,
2002-07,0.588,
2002-10,0.571,
2003-01,0.569,
2003-04,0.510,
2003-07,0.499,
2003-10,0.484,
2004-01,0.467,
2004-04,0.445,
2004-07,0.429,
2004-10,0.440,
2005-01,0.429,
2005-04,0.412,
2005-07,0.382,
2005-10,0.365,
2006-01,0.348,
2006-04,0.334,
2006-07,0.323,
2006-10,0.308,
2007-01,0.294,
2007-04,0.280,
2007-07,0.267,
2007-10,0.231,
2008-01,0.218,
2008-04,0.205,
2008-07,0.191,
2008-10,0.181,
2009-01,0.171,
2009-04,0.158,
2009-07,0.150,
2009-10,0.140,
2010-01,0.133,
2010-04,0.128,
2010-07,0.122,
2010-10,0.112,
2011-01,0.105,
2011-04,-,Nothing exists
2011-07,-,Nothing exists
2011-10,-,Nothing exists
2012-01,-,Nothing exists
2012-04,-,Nothing exists
2012-07,-,Nothing exists
2012-10,-,Nothing exists
2013-01,-,Nothing exists
2013-04,-,Nothing exists
2013-07,-,Nothing exists
2013-10,-,Nothing exists
2014-01,-,Nothing exists
2014-04,-,Nothing exists
2014-07,-,Nothing exists
