"",BBSF2.M.1.P.00000.TOT01.I.F.SVG.PL.00000.F03300.Z01.00,BBSF2.M.1.P.00000.TOT01.I.F.SVG.PL.00000.F03300.Z01.00_FLAGS
"",Public funds / Funds total / Debt securities total / Poland,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:45:18,
2009-09,547,
2009-10,529,
2009-11,567,
2009-12,589,
2010-01,641,
2010-02,653,
2010-03,713,
2010-04,657,
2010-05,631,
2010-06,602,
2010-07,609,
2010-08,629,
2010-09,657,
2010-10,594,
2010-11,546,
2010-12,562,
2011-01,545,
2011-02,545,
2011-03,538,
2011-04,556,
2011-05,566,
2011-06,555,
2011-07,531,
2011-08,499,
2011-09,474,
2011-10,488,
2011-11,458,
2011-12,468,
2012-01,500,
2012-02,515,
2012-03,520,
2012-04,522,
2012-05,524,
2012-06,537,
2012-07,524,
2012-08,511,
2012-09,503,
2012-10,529,
2012-11,546,
2012-12,555,
2013-01,543,
2013-02,533,
2013-03,552,
2013-04,558,
2013-05,533,
2013-06,498,
2013-07,500,
2013-08,491,
2013-09,490,
2013-10,494,
2013-11,494,
2013-12,499,
2014-01,546,
2014-02,554,
2014-03,546,
2014-04,522,
2014-05,523,
2014-06,539,
2014-07,541,
2014-08,503,
2014-09,541,
2014-10,543,
2014-11,550,
