"",BBK01.OEXB04M,BBK01.OEXB04M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:31:46,
2002-01,13.543,
2002-04,13.668,
2002-07,13.812,
2002-10,13.748,
2003-01,13.931,
2003-04,14.089,
2003-07,14.126,
2003-10,14.265,
2004-01,14.196,
2004-04,14.364,
2004-07,14.588,
2004-10,13.919,
2005-01,13.959,
2005-04,14.105,
2005-07,14.367,
2005-10,14.451,
2006-01,14.523,
2006-04,14.657,
2006-07,14.727,
2006-10,14.411,
2007-01,14.506,
2007-04,14.561,
2007-07,14.701,
2007-10,14.795,
2008-01,14.727,
2008-04,14.995,
2008-07,14.256,
2008-10,14.676,
2009-01,14.790,
2009-04,15.132,
2009-07,15.208,
2009-10,14.798,
2010-01,14.861,
2010-04,15.038,
2010-07,15.315,
2010-10,15.534,
2011-01,16.472,
2011-04,16.602,
2011-07,16.714,
2011-10,16.736,
2012-01,16.761,
2012-04,17.031,
2012-07,17.263,
2012-10,17.769,
2013-01,17.903,
2013-04,18.183,
2013-07,18.203,
2013-10,18.293,
2014-01,18.330,
2014-04,18.725,
2014-07,18.598,
