"",BBNZ1.Q.DE.N.H.0941.A,BBNZ1.Q.DE.N.H.0941.A_FLAGS
"","Germany / National accounts / Unit labour costs per hour / Public services, education and health",
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-24 08:21:02,
1991-01,64.80,
1991-04,72.35,
1991-07,71.88,
1991-10,88.93,
1992-01,68.84,
1992-04,72.84,
1992-07,77.83,
1992-10,93.96,
1993-01,73.06,
1993-04,77.73,
1993-07,79.42,
1993-10,97.77,
1994-01,76.18,
1994-04,77.81,
1994-07,80.36,
1994-10,98.27,
1995-01,77.92,
1995-04,81.12,
1995-07,84.86,
1995-10,101.15,
1996-01,79.42,
1996-04,81.28,
1996-07,84.53,
1996-10,100.92,
1997-01,79.41,
1997-04,81.66,
1997-07,83.66,
1997-10,100.91,
1998-01,79.08,
1998-04,82.21,
1998-07,86.04,
1998-10,102.09,
1999-01,80.46,
1999-04,84.62,
1999-07,88.45,
1999-10,104.25,
2000-01,81.88,
2000-04,84.19,
2000-07,89.07,
2000-10,104.79,
2001-01,83.91,
2001-04,86.16,
2001-07,89.69,
2001-10,106.89,
2002-01,85.43,
2002-04,87.88,
2002-07,90.66,
2002-10,107.40,
2003-01,86.66,
2003-04,88.72,
2003-07,93.21,
2003-10,107.32,
2004-01,87.49,
2004-04,90.53,
2004-07,93.05,
2004-10,108.34,
2005-01,87.70,
2005-04,90.56,
2005-07,92.22,
2005-10,107.58,
2006-01,87.18,
2006-04,90.09,
2006-07,92.12,
2006-10,107.79,
2007-01,87.22,
2007-04,89.79,
2007-07,92.27,
2007-10,107.46,
2008-01,87.33,
2008-04,91.34,
2008-07,92.07,
2008-10,108.37,
2009-01,91.00,
2009-04,94.83,
2009-07,97.52,
2009-10,111.28,
2010-01,93.21,
2010-04,96.79,
2010-07,97.55,
2010-10,112.66,
2011-01,94.22,
2011-04,99.13,
2011-07,99.11,
2011-10,114.55,
2012-01,95.34,
2012-04,100.49,
2012-07,100.98,
2012-10,116.90,
2013-01,98.46,
2013-04,102.99,
2013-07,104.66,
2013-10,120.56,
2014-01,100.53,
2014-04,105.34,
2014-07,107.16,
2014-10,123.29,
