"",BBK01.OEHK03L,BBK01.OEHK03L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:09:38,
2002-01,0.619,
2002-04,0.611,
2002-07,0.592,
2002-10,0.539,
2003-01,0.539,
2003-04,0.489,
2003-07,0.450,
2003-10,0.450,
2004-01,0.404,
2004-04,0.361,
2004-07,0.385,
2004-10,0.357,
2005-01,0.361,
2005-04,0.350,
2005-07,0.345,
2005-10,0.347,
2006-01,0.368,
2006-04,0.392,
2006-07,0.434,
2006-10,0.467,
2007-01,0.553,
2007-04,0.586,
2007-07,0.639,
2007-10,0.713,
2008-01,0.771,
2008-04,0.835,
2008-07,0.951,
2008-10,0.922,
2009-01,0.618,
2009-04,0.457,
2009-07,0.302,
2009-10,0.280,
2010-01,0.278,
2010-04,0.238,
2010-07,0.196,
2010-10,0.177,
2011-01,0.211,
2011-04,0.243,
2011-07,0.309,
2011-10,0.315,
2012-01,0.299,
2012-04,0.283,
2012-07,0.271,
2012-10,0.216,
2013-01,0.195,
2013-04,0.176,
2013-07,0.194,
2013-10,0.193,
2014-01,0.190,
2014-04,0.170,
2014-07,0.174,
