"",BBK01.OELK02U,BBK01.OELK02U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:10:21,
2002-01,0.212,
2002-04,0.212,
2002-07,0.227,
2002-10,0.235,
2003-01,0.219,
2003-04,0.219,
2003-07,0.236,
2003-10,0.243,
2004-01,0.236,
2004-04,0.235,
2004-07,0.243,
2004-10,0.251,
2005-01,0.234,
2005-04,0.239,
2005-07,0.248,
2005-10,0.268,
2006-01,0.253,
2006-04,0.258,
2006-07,0.265,
2006-10,0.292,
2007-01,0.281,
2007-04,0.294,
2007-07,0.309,
2007-10,0.321,
2008-01,0.311,
2008-04,0.323,
2008-07,0.328,
2008-10,0.349,
2009-01,0.335,
2009-04,0.350,
2009-07,0.368,
2009-10,0.406,
2010-01,0.390,
2010-04,0.396,
2010-07,0.421,
2010-10,0.447,
2011-01,0.424,
2011-04,0.427,
2011-07,0.453,
2011-10,0.488,
2012-01,0.470,
2012-04,0.505,
2012-07,0.543,
2012-10,0.567,
2013-01,0.565,
2013-04,0.575,
2013-07,0.616,
2013-10,0.654,
2014-01,0.633,
2014-04,0.650,
2014-07,0.684,
