"",BBK01.OEAH33U,BBK01.OEAH33U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:31:23,
2002-01,0.102,
2002-04,0.103,
2002-07,0.102,
2002-10,0.098,
2003-01,0.086,
2003-04,0.080,
2003-07,0.076,
2003-10,0.076,
2004-01,0.075,
2004-04,0.069,
2004-07,0.072,
2004-10,0.060,
2005-01,0.060,
2005-04,0.069,
2005-07,0.065,
2005-10,0.075,
2006-01,0.074,
2006-04,0.079,
2006-07,0.088,
2006-10,0.083,
2007-01,0.096,
2007-04,0.070,
2007-07,0.080,
2007-10,0.090,
2008-01,0.087,
2008-04,0.101,
2008-07,0.302,
2008-10,0.292,
2009-01,0.433,
2009-04,0.437,
2009-07,0.459,
2009-10,0.488,
2010-01,0.528,
2010-04,0.614,
2010-07,0.631,
2010-10,0.643,
2011-01,0.645,
2011-04,0.695,
2011-07,0.683,
2011-10,0.652,
2012-01,0.729,
2012-04,0.767,
2012-07,0.763,
2012-10,0.874,
2013-01,0.925,
2013-04,1.038,
2013-07,1.059,
2013-10,1.065,
2014-01,1.086,
2014-04,1.165,
2014-07,1.133,
