"",BBK01.OELB19N,BBK01.OELB19N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:33:23,
2002-01,2.690,
2002-04,2.651,
2002-07,2.645,
2002-10,2.553,
2003-01,2.461,
2003-04,2.412,
2003-07,2.363,
2003-10,2.306,
2004-01,2.228,
2004-04,2.198,
2004-07,2.213,
2004-10,2.211,
2005-01,2.154,
2005-04,2.129,
2005-07,2.139,
2005-10,2.071,
2006-01,1.987,
2006-04,1.953,
2006-07,1.929,
2006-10,1.844,
2007-01,1.783,
2007-04,1.741,
2007-07,1.810,
2007-10,1.725,
2008-01,1.715,
2008-04,1.701,
2008-07,1.683,
2008-10,1.656,
2009-01,1.676,
2009-04,1.722,
2009-07,1.747,
2009-10,1.747,
2010-01,1.730,
2010-04,1.736,
2010-07,1.776,
2010-10,1.769,
2011-01,1.777,
2011-04,1.821,
2011-07,1.901,
2011-10,1.903,
2012-01,1.914,
2012-04,1.686,
2012-07,1.725,
2012-10,1.733,
2013-01,1.753,
2013-04,1.784,
2013-07,1.815,
2013-10,1.823,
2014-01,1.802,
2014-04,1.841,
2014-07,1.854,
